recorder__;recorder__;recorder__;soprano;alto;tenor;bass;measure;composer;corpus
[['G5', 1.0], ['A5', 1.0], ['B5', 0.5], ['C6', 0.5], ['D6', 1.0]];[['B4', 0.5], ['C#5', 0.5], ['D5', 1.0], ['D5', 1.0], ['G5', 0.5], ['A5', 0.5]];[['G4', 0.5], ['G5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['C5', 0.5], ['B4', 1.0]];[['G4', 1.0], ['A4', 1.0], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['G4', 0.5], ['A4', 0.5], ['B4', 1.0]];[['G3', 1.0], ['D4', 1.0], ['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5]];[['E3', 1.0], ['D3', 1.0], ['G3', 1.5], ['F3', 0.5]];10;bach;bwv175.7
[['D6', 1.0], ['C6', 1.0], ['B5', 1.0], ['A5', 1.0]];[['B5', 1.0], ['A5', 1.0], ['G5', 0.5], ['F#5', 0.5], ['E5', 1.0]];[['E5', 1.0], ['E5', 0.5], ['F#5', 0.5], ['G5', 1.0], ['A5', 1.0]];[['D5', 1.0], ['C5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['G#3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['D#3', 1.0], ['E3', 1.0]];[['E3', 1.0], ['A2', 1.0], ['B2', 1.0], ['C3', 1.0]];11;bach;bwv175.7
[['B5', 3.0], ['B5', 0.5], ['C6', 0.5]];[['F#5', 3.0], ['G5', 0.5], ['A5', 0.5]];[['D#5', 3.0], ['E5', 1.0]];[['B4', 3.0], ['B4', 0.5], ['C5', 0.5]];[['D#4', 3.0], ['E4', 1.0]];[['F#3', 3.0], ['G3', 1.0]];[['B2', 3.0], ['E3', 1.0]];12;bach;bwv175.7
[['D6', 1.0], ['E6', 1.0], ['D6', 1.0], ['A5', 1.0]];[['B5', 1.0], ['C6', 1.0], ['D6', 2.0]];[['F#5', 0.5], ['G#5', 0.5], ['A5', 1.0], ['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['E5', 0.5]];[['D5', 1.0], ['E5', 1.0], ['D5', 1.0], ['A4', 1.0]];[['F#4', 0.5], ['G#4', 0.5], ['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5]];[['D4', 1.0], ['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['D4', 0.5], ['C4', 0.5]];[['B3', 1.0], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 1.0]];13;bach;bwv175.7
[['B5', 1.0], ['C#6', 1.0], ['D6', 2.0]];[['D6', 1.0], ['G5', 1.0], ['F#5', 2.0]];[['D5', 1.0], ['E5', 1.0], ['A4', 2.0]];[['B4', 1.0], ['C#5', 1.0], ['D5', 2.0]];[['D4', 1.0], ['E4', 1.0], ['F#4', 2.0]];[['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['A3', 2.0]];[['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['D3', 2.0]];14;bach;bwv175.7
[('P', 1.0), ['D6', 1.0], ['E6', 1.0], ['D6', 1.0]];[('P', 1.0), ['G5', 0.5], ['F5', 0.5], ['E5', 0.5], ['F#5', 0.5], ['G5', 1.0]];[('P', 1.0), ['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['A4', 0.5], ['B4', 1.0]];[('P', 1.0), ['D5', 1.0], ['E5', 1.0], ['D5', 1.0]];[('P', 1.0), ['G4', 1.0], ['G4', 1.0], ['G4', 1.0]];[('P', 1.0), ['B3', 1.0], ['C4', 1.0], ['D4', 1.0]];[('P', 1.0), ['G3', 1.0], ['C3', 1.0], ['B2', 0.5], ['C3', 0.5]];15;bach;bwv175.7
[['A5', 0.5], ['B5', 0.5], ['C6', 1.0], ['B5', 1.0], ['A5', 1.0]];[['F#5', 1.0], ['G5', 0.5], ['A5', 0.5], ['B5', 0.5], ['G5', 0.5], ['D5', 1.0]];[['A4', 1.0], ['E5', 1.0], ['D5', 0.5], ['E5', 0.5], ['F#5', 1.0]];[['A4', 0.5], ['B4', 0.5], ['C5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['F#4', 1.0], ['E4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['D4', 1.0], ['G3', 1.0], ['G3', 1.0], ['F#3', 1.0]];[['D3', 1.0], ['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['C3', 0.5], ['D3', 1.0]];16;bach;bwv175.7
[['G5', 3.0], ['G5', 1.0]];[['D5', 3.0], ['D5', 0.5], ['E5', 0.5]];[['B4', 3.0], ['B4', 1.0]];[['G4', 3.0], ['G4', 1.0]];[['D4', 3.0], ['D4', 1.0]];[['B3', 3.0], ['B3', 1.0]];[['G2', 3.0], ['G2', 1.0]];17;bach;bwv175.7
[['A5', 0.5], ['B5', 0.5], ['C6', 1.0], ['B5', 0.5], ['C6', 0.5], ['D6', 1.0]];[['F#5', 1.0], ['E5', 0.5], ['F#5', 0.5], ['G5', 0.5], ['A5', 0.5], ['B5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['G5', 0.5]];[['A4', 0.5], ['B4', 0.5], ['C5', 1.0], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['D4', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 0.5], ['E4', 0.5]];[['F#3', 0.5], ['G3', 0.5], ['A3', 1.0], ['G3', 1.0], ['G3', 1.0]];[['D3', 1.0], ['A2', 1.0], ['E3', 1.0], ['B2', 0.5], ['C3', 0.5]];18;bach;bwv175.7
[['D6', 1.0], ['A5', 1.0], ['G5', 1.0], ['F#5', 1.0]];[['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['D5', 1.0], ['D5', 1.0]];[['F#5', 0.5], ['E5', 0.5], ['F#5', 1.0], ['G5', 1.0], ['A5', 0.5], ['A4', 0.5]];[['D5', 1.0], ['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['F#4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['D4', 1.0], ['D4', 1.0]];[['D4', 1.0], ['D3', 1.0], ['G3', 1.0], ['A3', 1.0]];[['D3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['F#2', 0.5]];19;bach;bwv175.7
[['E5', 2.0], ['D5', 2.0]];[['D5', 1.0], ['C#5', 1.0], ['D5', 2.0]];[['B4', 1.0], ['A4', 1.0], ['A4', 2.0]];[['E4', 2.0], ['D4', 2.0]];[['D4', 1.0], ['C#4', 1.0], ['A3', 2.0]];[['B3', 1.0], ['A3', 0.5], ['G3', 0.5], ['F#3', 2.0]];[['G2', 1.0], ['A2', 1.0], ['D3', 2.0]];20;bach;bwv175.7
[('P', 1.0), ['D5', 1.0], ['G5', 1.0], ['A5', 1.0]];[('P', 1.0), ['B4', 1.0], ['E5', 1.0], ['F#5', 1.0]];[('P', 1.0), ['G4', 0.5], ['A4', 0.5], ['B4', 0.5], ['C5', 0.5], ['A4', 1.0]];[('P', 1.0), ['D4', 1.0], ['G4', 1.0], ['A4', 1.0]];[('P', 1.0), ['D4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[('P', 1.0), ['B3', 1.0], ['B3', 0.5], ['G3', 0.5], ['D4', 1.0]];[('P', 1.0), ['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['D3', 0.5], ['C3', 0.5]];21;bach;bwv175.7
[['B5', 0.5], ['C6', 0.5], ['D6', 2.0], ['C6', 1.0]];[['G5', 0.5], ['A5', 0.5], ['B5', 1.0], ['E5', 1.5], ['F#5', 0.5]];[['D5', 1.5], ['C5', 0.5], ['B4', 1.0], ['C5', 1.0]];[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['C5', 1.0]];[['G4', 1.5], ['A4', 0.5], ['B4', 1.0], ['A4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['E4', 1.0], ['E3', 0.5], ['F#3', 0.5]];[['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['F#2', 0.5], ['G#2', 1.0], ['A2', 1.0]];22;bach;bwv175.7
[['B5', 1.0], ['A5', 1.0], ['E5', 1.0], ['F#5', 1.0]];[['G5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['F#5', 0.5], ['G5', 1.0], ['D5', 1.0]];[['D5', 1.0], ['C5', 0.5], ['D5', 0.5], ['E5', 1.0], ['A4', 1.0]];[['B4', 1.0], ['A4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[['G4', 0.5], ['F#4', 0.5], ['E4', 1.0], ['E4', 1.0], ['D4', 1.0]];[['G3', 1.0], ['A3', 1.0], ['B-3', 0.5], ['A3', 0.5], ['A3', 1.0]];[['B2', 1.0], ['C3', 1.0], ['C#3', 1.0], ['D3', 1.0]];23;bach;bwv175.7
[['G5', 3.0], ['A5', 1.0]];[['D5', 3.0], ['F#5', 1.0]];[['B4', 3.0], ['D5', 1.0]];[['G4', 3.0], ['A4', 1.0]];[['D4', 3.0], ['F#4', 1.0]];[['B3', 3.0], ['D4', 1.0]];[['G2', 3.0], ['D3', 1.0]];24;bach;bwv175.7
[['B5', 0.5], ['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['E5', 2.0]];[['G5', 1.0], ['D5', 1.0], ['D5', 0.5], ['C5', 0.25], ['B4', 0.25], ['C5', 1.0]];[['D5', 0.5], ['C5', 0.5], ['B4', 0.5], ['A4', 0.5], ['G4', 2.0]];[['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 2.0]];[['G4', 1.0], ['D4', 1.0], ['D4', 0.5], ['C4', 0.25], ['B3', 0.25], ['C4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 2.0]];[['G2', 0.5], ['A2', 0.5], ['B2', 1.0], ['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F#3', 0.5]];25;bach;bwv175.7
[['D5', 3.0], ['A5', 1.0]];[['B4', 3.0], ['D#5', 1.0]];[['G4', 3.0], ['A4', 1.0]];[['D4', 3.0], ['A4', 1.0]];[['B3', 3.0], ['D#4', 1.0]];[['G3', 3.0], ['A3', 1.0]];[['G3', 3.0], ['F#3', 1.0]];26;bach;bwv175.7
[['B5', 2.0], ['A5', 2.0]];[['E5', 0.5], ['F#5', 0.5], ['G5', 2.0], ['F#5', 1.0]];[['G4', 0.5], ['A4', 0.5], ['B4', 0.5], ['G4', 0.5], ['D5', 1.0], ['A4', 1.0]];[['B4', 2.0], ['A4', 2.0]];[['E4', 0.5], ['F#4', 0.5], ['G4', 2.0], ['F#4', 1.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['G3', 0.5], ['D4', 1.0], ['A3', 1.0]];[['E3', 1.0], ['B2', 0.5], ['C3', 0.5], ['D3', 2.0]];27;bach;bwv175.7
[['G5', 3.0]];[['D5', 3.0]];[['B4', 3.0]];[['G4', 3.0]];[['D4', 3.0]];[['B3', 3.0]];[['G2', 3.0]];28;bach;bwv175.7
