horn__;horn__;timpani;soprano;alto;tenor;bass;continuo;measure;composer;corpus
[['B4', 1.0], ['D5', 0.5], ['C5', 0.5], ['B4', 1.0], ['G5', 1.0]];[['G4', 1.0], ['B4', 0.5], ['A4', 0.5], ['G4', 2.0]];[['G2', 1.0], ('P', 1.0), ('P', 2.0)];[['G4', 4.0]];[['D4', 4.0]];[['B3', 4.0]];[['G2', 4.0]];[['G2', 1.0], ('P', 1.0), ['B2', 1.0], ('P', 1.0)];10;bach;bwv79.3
[['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['A4', 1.0], ['C5', 0.5], ['A4', 0.5]];[['G4', 4.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C3', 1.0], ('P', 1.0), ['A2', 1.0], ('P', 1.0)];11;bach;bwv79.3
[['B4', 0.5], ['D5', 0.5], ['C5', 0.5], ['A4', 0.5], ['B4', 0.5], ['D5', 0.5], ['C5', 0.5], ['A4', 0.5]];[['G4', 4.0]];[('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 1.0], ('P', 1.0), ['B2', 1.0], ('P', 1.0)];12;bach;bwv79.3
[['B4', 1.0], ['B4', 0.5], ['C5', 0.25], ['D5', 0.25], ['C5', 0.5], ['B4', 0.5], ['A4', 0.5], ['G4', 0.5]];[['G4', 1.0], ['G4', 0.5], ['A4', 0.25], ['B4', 0.25], ['A4', 0.5], ['G4', 0.5], ['D4', 0.5], ['B3', 0.5]];[['G2', 1.0], ['G2', 1.0], ['D3', 1.0], ['D3', 1.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E3', 1.0], ['C3', 1.0], ['D3', 1.0], ['D2', 1.0]];13;bach;bwv79.3
[['G4', 0.5], ['D4', 0.5], ['G4', 0.5], ['A4', 0.5], ['B4', 0.5], ['A4', 0.5], ['B4', 0.5], ['C5', 0.5]];[['B3', 0.5], ['G3', 0.5], ['B3', 0.5], ['D4', 0.5], ['G4', 0.5], ['D4', 0.5], ['G4', 0.5], ['A4', 0.5]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[('P', 2.0), ['D5', 2.0]];[('P', 2.0), ['G4', 2.0]];[('P', 2.0), ['B3', 2.0]];[('P', 2.0), ['G3', 2.0]];[['G2', 1.0], ('P', 1.0), ['G3', 1.0], ('P', 1.0)];14;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['B4', 2.0], ['D5', 1.0]];[['B4', 0.5], ['A4', 0.5], ['G4', 2.0], ['B4', 1.0]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[['D5', 2.0], ['D5', 2.0]];[['G4', 2.0], ['B4', 2.0]];[['B3', 1.0], ['D4', 1.0], ['G4', 2.0]];[['G3', 2.0], ['G3', 2.0]];[['G3', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];15;bach;bwv79.3
[['E5', 0.5], ['D5', 0.5], ['C5', 2.0], ['E5', 1.0]];[['C5', 1.0], ['G4', 2.0], ['C5', 1.0]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[['E5', 2.0], ['E5', 2.0]];[['C5', 2.0], ['C5', 2.0]];[['G4', 2.0], ['G4', 2.0]];[['C4', 2.0], ['C3', 2.0]];[['C3', 1.0], ('P', 1.0), ['E3', 1.0], ('P', 1.0)];16;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['B4', 2.0], ['B4', 0.5], ['C5', 0.5]];[['B4', 0.5], ['A4', 0.5], ['G4', 2.0], ['G4', 0.5], ['A4', 0.5]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 1.0], ('P', 1.0)];[['D5', 4.0]];[['B4', 4.0]];[['G4', 4.0]];[['G3', 4.0]];[['G3', 1.0], ('P', 1.0), ['B3', 1.0], ('P', 1.0)];17;bach;bwv79.3
[['D5', 0.5], ['E5', 0.5], ['F5', 2.0], ['E5', 0.5], ['D5', 0.5]];[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['C5', 0.5], ['B4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G#3', 1.0], ('P', 1.0), ['E3', 1.0], ('P', 1.0)];18;bach;bwv79.3
[['C5', 1.0], ['C5', 0.5], ['B4', 0.5], ['C5', 1.0], ['D5', 0.5], ['C5', 0.5]];[['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['A4', 1.0], ['B4', 0.5], ['A4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A3', 1.0], ('P', 1.0), ['F#3', 1.0], ('P', 1.0)];19;bach;bwv79.3
[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['C5', 0.5], ['B4', 0.5]];[['G4', 0.5], ['A4', 0.5], ['B4', 2.0], ['A4', 0.5], ['G4', 0.5]];[('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 2.0), ['B4', 2.0]];[('P', 2.0), ['G4', 2.0]];[('P', 2.0), ['D4', 2.0]];[('P', 2.0), ['G3', 2.0]];[['G3', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];20;bach;bwv79.3
[['A4', 1.0], ['C5', 0.5], ['A4', 0.5], ['B4', 1.0], ['D5', 0.5], ['B4', 0.5]];[['D4', 1.0], ['A4', 0.5], ['D4', 0.5], ['G4', 1.0], ['B4', 0.5], ['G4', 0.5]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['C5', 2.0], ['B4', 2.0]];[['A4', 2.0], ['G4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['F#3', 2.0], ['G3', 2.0]];[['F#2', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];21;bach;bwv79.3
[['C5', 1.0], ['A4', 1.0], ('P', 1.0), ['B4', 0.5], ['C5', 0.5]];[['A4', 1.0], ['D4', 1.0], ('P', 1.0), ['G4', 1.0]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['A4', 2.0], ['B4', 2.0]];[['F#4', 2.0], ['G4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['D3', 1.0], ['C3', 1.0], ['B2', 1.0], ['G2', 1.0]];[['D3', 1.0], ('P', 1.0), ['G3', 1.0], ('P', 1.0)];22;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['D5', 0.5], ['E5', 0.5], ['D5', 0.5], ['C5', 0.5]];[['A4', 1.0], ['B4', 0.5], ['C5', 0.5], ['A4', 2.0]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['A4', 4.0]];[['G4', 2.0], ['F#4', 2.0]];[['D4', 3.0], ['A3', 1.0]];[['D3', 4.0]];[['D3', 1.0], ('P', 1.0), ['D2', 1.0], ('P', 1.0)];23;bach;bwv79.3
[['B4', 1.0], ['D5', 0.5], ['C5', 0.5], ['B4', 1.0], ['G5', 1.0]];[['G4', 1.0], ['B4', 0.5], ['A4', 0.5], ['G4', 2.0]];[['G2', 1.0], ('P', 1.0), ('P', 2.0)];[['G4', 4.0]];[['D4', 4.0]];[['B3', 4.0]];[['G2', 4.0]];[['G2', 1.0], ('P', 1.0), ['B2', 1.0], ('P', 1.0)];24;bach;bwv79.3
[['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['A4', 1.0], ['C5', 0.5], ['A4', 0.5]];[['G4', 4.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C3', 1.0], ('P', 1.0), ['A2', 1.0], ('P', 1.0)];25;bach;bwv79.3
[['B4', 0.5], ['D5', 0.5], ['C5', 0.5], ['A4', 0.5], ['B4', 0.5], ['D5', 0.5], ['C5', 0.5], ['A4', 0.5]];[['G4', 4.0]];[('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 1.0], ('P', 1.0), ['B2', 1.0], ('P', 1.0)];26;bach;bwv79.3
[['B4', 1.0], ['B4', 0.5], ['C5', 0.25], ['D5', 0.25], ['C5', 0.5], ['B4', 0.5], ['A4', 0.5], ['G4', 0.5]];[['G4', 1.0], ['G4', 0.5], ['A4', 0.25], ['B4', 0.25], ['A4', 0.5], ['G4', 0.5], ['D4', 0.5], ['B3', 0.5]];[['G2', 1.0], ['G2', 1.0], ['D3', 1.0], ['D3', 1.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E3', 1.0], ['C3', 1.0], ['D3', 1.0], ['D2', 1.0]];27;bach;bwv79.3
[['G4', 0.5], ['D4', 0.5], ['G4', 0.5], ['A4', 0.5], ['B4', 0.5], ['C#5', 0.5], ['D5', 0.5], ['E5', 0.5]];[['B3', 0.5], ['G3', 0.5], ['B3', 0.5], ['D4', 0.5], ['G4', 0.5], ['A4', 0.5], ['B4', 0.5], ['G4', 0.5]];[['G2', 1.0], ('P', 1.0), ('P', 2.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G2', 1.0], ('P', 1.0), ['E2', 1.0], ('P', 1.0)];28;bach;bwv79.3
[['F#5', 1.5], ['G5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['F#5', 0.5], ['E5', 0.5]];[['A4', 1.5], ['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['G4', 0.5]];[('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 2.0), ['A4', 2.0]];[('P', 2.0), ['F#4', 2.0]];[('P', 2.0), ['D4', 2.0]];[('P', 2.0), ['D3', 2.0]];[['D2', 1.0], ('P', 1.0), ['D3', 1.0], ('P', 1.0)];29;bach;bwv79.3
[['F#5', 0.5], ['E5', 0.5], ['D5', 2.0], ['F#5', 1.0]];[['A4', 0.5], ['G4', 0.5], ['A4', 2.0], ['A4', 1.0]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['A4', 2.0], ['A4', 2.0]];[['F#4', 2.0], ['F#4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['D3', 2.0], ['D3', 2.0]];[['D2', 1.0], ('P', 1.0), ['D3', 1.0], ('P', 1.0)];30;bach;bwv79.3
[['G5', 1.0], ['D5', 2.0], ['G5', 1.0]];[['B4', 0.5], ['A4', 0.5], ['G4', 2.0], ['B4', 1.0]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['B4', 2.0], ['B4', 2.0]];[['G4', 2.0], ['G4', 2.0]];[['D4', 2.0], ['D4', 1.0], ['E4', 1.0]];[['G3', 2.0], ['G2', 2.0]];[['G2', 1.0], ('P', 1.0), ['B2', 1.0], ('P', 1.0)];31;bach;bwv79.3
[['F#5', 0.5], ['E5', 0.5], ['D5', 2.0], ['D5', 0.5], ['E5', 0.5]];[['A4', 0.5], ['G4', 0.5], ['A4', 2.0], ['A4', 0.5], ['G4', 0.5]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 1.0], ('P', 1.0)];[['A4', 2.0], ('P', 2.0)];[['A4', 2.0], ('P', 2.0)];[['F#4', 2.0], ('P', 2.0)];[['D3', 2.0], ('P', 2.0)];[['D3', 1.0], ('P', 1.0), ['F#3', 1.0], ('P', 1.0)];32;bach;bwv79.3
[['F#5', 0.5], ['E5', 0.5], ['F#5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['G5', 0.5]];[['A4', 0.5], ['G4', 0.5], ['A4', 0.5], ['B4', 0.5], ['A4', 0.5], ['B4', 0.5], ['A4', 0.5], ['B4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D#3', 1.0], ('P', 1.0), ['B2', 1.0], ('P', 1.0)];33;bach;bwv79.3
[['E5', 1.0], ['E5', 0.5], ['D#5', 0.5], ['E5', 1.0], ['F#5', 0.5], ['E5', 0.5]];[['G4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['A4', 1.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E3', 1.0], ('P', 1.0), ['C#3', 1.0], ('P', 1.0)];34;bach;bwv79.3
[['D5', 0.5], ['E5', 0.5], ['F#5', 2.0], ['E5', 0.5], ['D5', 0.5]];[['A4', 4.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F#3', 1.0], ('P', 1.0), ['D3', 1.0], ('P', 1.0)];35;bach;bwv79.3
[['C#5', 0.5], ['B4', 0.5], ['C#5', 1.0], ('P', 1.0), ['D5', 0.5], ['C#5', 0.5]];[['A4', 2.0], ('P', 1.0), ['A4', 1.0]];[('P', 2.0), ('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 2.0), ['A4', 2.0]];[('P', 2.0), ['A4', 2.0]];[('P', 2.0), ['D4', 2.0]];[('P', 2.0), ['F#3', 2.0]];[['A3', 1.0], ('P', 1.0), ['F#3', 1.0], ('P', 1.0)];36;bach;bwv79.3
[['B4', 0.5], ['D5', 0.5], ['C#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['G5', 0.5]];[['G4', 1.0], ('P', 1.0), ('P', 2.0)];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 1.0], ('P', 1.0)];[['B4', 1.0], ['C#5', 1.0], ['D5', 2.0]];[['G4', 2.0], ['A4', 2.0]];[['D4', 1.0], ['E4', 1.0], ['F#4', 2.0]];[['G3', 2.0], ['F#3', 1.0], ['G3', 1.0]];[['G3', 1.0], ('P', 1.0), ['D3', 1.0], ('P', 1.0)];37;bach;bwv79.3
[['F#5', 1.0], ['F#5', 0.5], ['E5', 0.5], ['G5', 1.0], ['F#5', 0.5], ['E5', 0.5]];[('P', 1.0), ['D5', 0.5], ['C#5', 0.5], ['E5', 1.0], ['D5', 0.5], ['C#5', 0.5]];[('P', 4.0)];[['D5', 2.0], ['C#5', 2.0]];[['A4', 2.0], ['A4', 2.0]];[['E4', 2.0], ['E4', 2.0]];[['A3', 2.0], ['A2', 2.0]];[['A3', 1.0], ('P', 1.0), ['A2', 1.0], ('P', 1.0)];38;bach;bwv79.3
[['F#5', 0.5], ['E5', 0.5], ['D5', 2.0], ['A4', 0.5], ['B4', 0.5]];[['D5', 1.0], ['A4', 2.0], ['D4', 1.0]];[('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['D5', 4.0]];[['A4', 4.0]];[['F#4', 4.0]];[['D3', 4.0]];[['D3', 1.0], ('P', 1.0), ['F#3', 1.0], ('P', 1.0)];39;bach;bwv79.3
[['C5', 1.0], ['C5', 0.5], ['B4', 0.5], ['C5', 1.0], ['D5', 0.5], ['C5', 0.5]];[['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['A4', 1.0], ['B4', 0.5], ['A4', 0.5]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A3', 1.0], ('P', 1.0), ['F#3', 1.0], ('P', 1.0)];40;bach;bwv79.3
[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['C5', 0.5], ['B4', 0.5]];[['G4', 0.5], ['A4', 0.5], ['B4', 2.0], ['A4', 0.5], ['G4', 0.5]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G3', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];41;bach;bwv79.3
[['A4', 0.5], ['C5', 0.5], ['B4', 0.5], ['G4', 0.5], ['A4', 0.5], ['C5', 0.5], ['B4', 0.5], ['G4', 0.5]];[['D4', 1.0], ['G3', 0.5], ['B3', 0.5], ['D4', 1.0], ['G3', 0.5], ['B3', 0.5]];[['D3', 1.0], ('P', 1.0), ['D3', 1.0], ('P', 1.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 1.0], ('P', 1.0), ['D2', 1.0], ('P', 1.0)];42;bach;bwv79.3
[['A4', 1.5], ['C5', 0.5], ['B4', 0.5], ['A4', 0.5], ['B4', 0.5], ['C5', 0.5]];[['D4', 1.5], ['D4', 0.5], ['G4', 0.5], ['D4', 0.5], ['G4', 0.5], ['A4', 0.5]];[['D3', 1.0], ('P', 1.0), ('P', 2.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 1.0], ('P', 1.0), ['C3', 1.0], ('P', 1.0)];43;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['B4', 2.0], ['D5', 1.0]];[['B4', 0.5], ['A4', 0.5], ['G4', 2.0], ['B4', 1.0]];[('P', 0.5), ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[('P', 2.0), ['D5', 2.0]];[('P', 2.0), ['B4', 2.0]];[('P', 2.0), ['G4', 2.0]];[('P', 2.0), ['G3', 2.0]];[['B2', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];44;bach;bwv79.3
[['E5', 0.5], ['D5', 0.5], ['C5', 1.0], ('P', 1.0), ['B4', 0.5], ['G4', 0.5]];[['C5', 1.0], ['G4', 1.0], ('P', 1.0), ['G4', 0.5], ['D4', 0.5]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[['E5', 2.0], ['D5', 2.0]];[['C5', 2.0], ['B4', 2.0]];[['G4', 2.0], ['F4', 2.0]];[['C3', 2.0], ['D3', 2.0]];[['C3', 1.0], ('P', 1.0), ['D3', 1.0], ('P', 1.0)];45;bach;bwv79.3
[['C5', 1.0], ['C5', 0.5], ['G4', 0.5], ['D5', 1.0], ['D5', 0.5], ['G4', 0.5]];[['G4', 1.0], ('P', 1.0), ['G4', 1.0], ('P', 1.0)];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 1.0], ('P', 1.0)];[['C5', 2.0], ['B4', 2.0]];[['G4', 2.0], ['G4', 2.0]];[['E4', 2.0], ['D4', 2.0]];[['E3', 1.0], ['F3', 1.0], ['G3', 2.0]];[['E3', 1.0], ('P', 1.0), ['G3', 1.0], ('P', 1.0)];46;bach;bwv79.3
[['E5', 0.5], ['F5', 0.5], ['G5', 2.0], ['F5', 0.5], ['E5', 0.5]];[['G4', 1.0], ('P', 1.0), ['C5', 2.0]];[('P', 4.0)];[['C5', 4.0]];[['G4', 4.0]];[['E4', 4.0]];[['C3', 4.0]];[['C4', 1.0], ('P', 1.0), ['E3', 1.0], ('P', 1.0)];47;bach;bwv79.3
[['D5', 1.0], ['D5', 0.5], ['C5', 0.5], ['D5', 1.0], ['F5', 0.5], ['D5', 0.5]];[['C5', 4.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F3', 1.0], ('P', 1.0), ['D3', 1.0], ('P', 1.0)];48;bach;bwv79.3
[['E5', 0.5], ['G5', 0.5], ['F5', 0.5], ['D5', 0.5], ['E5', 0.5], ['G5', 0.5], ['F5', 0.5], ['D5', 0.5]];[['C5', 4.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G3', 1.0], ('P', 1.0), ['E3', 1.0], ('P', 1.0)];49;bach;bwv79.3
[['E5', 1.0], ['E5', 0.5], ['F5', 0.25], ['G5', 0.25], ['E5', 1.0], ['D5', 0.5], ['C5', 0.5]];[['C5', 1.0], ['C5', 1.0], ['G4', 1.0], ['G4', 1.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A3', 1.0], ['F3', 1.0], ['G3', 1.0], ['G2', 1.0]];50;bach;bwv79.3
