horn__;horn__;horn__;timpani;soprano;alto;tenor;bass;measure;composer;corpus
[('P', 1.0), ['G5', 1.0], ['A5', 1.0]];[['C5', 3.0]];[('P', 3.0)];[('P', 3.0)];[['G5', 2.0], ['F5', 1.0]];[['B-4', 2.0], ['A4', 1.0]];[['G3', 2.0], ['C4', 1.0]];[['E3', 2.0], ['F3', 1.0]];10;bach;bwv19.7
[['G5', 1.0], ['A5', 1.0], ['B5', 1.0]];[['C5', 1.0], ['F5', 1.0], ['F5', 1.0]];[('P', 1.0), ['C4', 1.0], ['G4', 1.0]];[('P', 1.0), ['C3', 1.0], ['G2', 1.0]];[['E5', 1.0], ['D5', 2.0]];[['E4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['C4', 2.0], ['B3', 1.0]];[['G3', 1.0], ['F3', 1.0], ['G3', 1.0]];11;bach;bwv19.7
[['C6', 3.0]];[['E5', 3.0]];[['G4', 3.0]];[['C3', 3.0]];[['E5', 3.0]];[['G4', 3.0]];[['G3', 3.0]];[['C3', 3.0]];12;bach;bwv19.7
[['C5', 3.0]];[('P', 1.0), ['E5', 1.0], ['E5', 1.0]];[('P', 1.0), ['C5', 1.0], ['C5', 1.0]];[('P', 1.0), ['C3', 1.0], ['C3', 1.0]];[['G5', 1.0], ['G5', 2.0]];[['C5', 1.0], ['B-4', 2.0]];[['E4', 1.0], ['E4', 2.0]];[['C3', 1.0], ['C4', 0.5], ['B-3', 0.5], ['A3', 0.5], ['G3', 0.5]];13;bach;bwv19.7
[['C5', 3.0]];[['F5', 1.0], ('P', 1.0), ('P', 1.0)];[['C4', 1.0], ('P', 1.0), ('P', 1.0)];[['C3', 1.0], ('P', 1.0), ('P', 1.0)];[['A5', 2.0], ['G5', 1.0]];[['A4', 1.0], ['B4', 1.0], ['C5', 1.0]];[['C4', 1.0], ['D4', 1.0], ['E4', 1.0]];[['F3', 2.0], ['E3', 1.0]];14;bach;bwv19.7
[['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['D5', 0.5], ['E5', 0.5], ['F5', 0.5]];[('P', 1.0), ['C5', 1.0], ['C5', 1.0]];[('P', 1.0), ['G4', 1.0], ['G4', 1.0]];[('P', 1.0), ['C3', 1.0], ['C3', 1.0]];[['F5', 1.0], ['E5', 2.0]];[['C5', 1.0], ['G4', 2.0]];[['C4', 2.0], ['C4', 1.0]];[['A3', 0.5], ['B3', 0.5], ['C4', 1.0], ['C3', 1.0]];15;bach;bwv19.7
[['G5', 3.0]];[['D5', 3.0]];[['G4', 3.0]];[['G2', 3.0]];[['D5', 3.0]];[['G4', 3.0]];[['B3', 3.0]];[['G3', 3.0]];16;bach;bwv19.7
[['E5', 0.5], ['F5', 0.5], ['E5', 0.5], ['D5', 0.5], ['C5', 1.0]];[['C5', 2.0], ['G4', 1.0]];[('P', 1.0), ['G4', 1.0], ['C5', 1.0]];[('P', 1.0), ['C3', 1.0], ['C3', 1.0]];[['E5', 2.0], ['G5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['C4', 2.0], ['C4', 1.0]];[['C4', 2.0], ['E3', 1.0]];17;bach;bwv19.7
[['C5', 1.0], ['D5', 1.0], ['E5', 1.0]];[['C4', 2.0], ['G4', 1.0]];[['F5', 1.0], ('P', 1.0), ('P', 1.0)];[['C3', 1.0], ('P', 1.0), ('P', 1.0)];[['F5', 2.0], ['E5', 1.0]];[['A4', 2.0], ['G4', 1.0]];[['C4', 2.0], ['B3', 1.0]];[['F3', 2.0], ['G3', 1.0]];18;bach;bwv19.7
[['F5', 1.0], ['G5', 1.0], ['F5', 1.0]];[['C5', 1.0], ['G4', 1.0], ['D5', 1.0]];[('P', 3.0)];[('P', 3.0)];[['C5', 1.0], ['D5', 2.0]];[['F4', 1.0], ['D4', 1.0], ['G4', 1.0]];[['C4', 1.0], ['B3', 2.0]];[['A3', 1.0], ['B3', 1.0], ['G3', 1.0]];19;bach;bwv19.7
[['E5', 0.5], ['F5', 0.5], ['G5', 0.5], ['A5', 0.5], ['F5', 0.5], ['G5', 0.5]];[['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['F5', 0.5], ['D5', 0.5], ['E5', 0.5]];[('P', 1.0), ['C5', 1.0], ['C5', 1.0]];[('P', 1.0), ['C3', 1.0], ['C3', 1.0]];[['E5', 3.0]];[['G4', 3.0]];[['C4', 2.0], ['B-3', 1.0]];[['C4', 2.0], ['C3', 1.0]];20;bach;bwv19.7
[['A5', 3.0]];[['F5', 3.0]];[['C5', 3.0]];[['C3', 3.0]];[['C5', 3.0]];[['F4', 3.0]];[['A3', 3.0]];[['F3', 3.0]];21;bach;bwv19.7
[['G5', 0.5], ['A5', 0.5], ['G5', 0.5], ['F5', 0.5], ['E5', 1.0]];[['E5', 0.5], ['F5', 0.5], ['E5', 0.5], ['D5', 0.5], ['C5', 1.0]];[('P', 1.0), ['C5', 1.0], ['G4', 1.0]];[('P', 1.0), ['C3', 1.0], ['C3', 1.0]];[['E5', 2.0], ['G5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['C4', 2.0], ['E4', 1.0]];[['C3', 2.0], ['C4', 1.0]];22;bach;bwv19.7
[['F5', 1.0], ['G5', 2.0]];[['D5', 2.0], ['E5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['G2', 1.0], ['G2', 1.0], ['C3', 1.0]];[['F5', 2.0], ['E5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['D4', 2.0], ['C4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['C4', 1.0]];23;bach;bwv19.7
[['A5', 1.0], ['B5', 1.0], ['C6', 1.0]];[['F5', 2.0], ['E5', 0.5], ['F5', 0.5]];[['D5', 2.0], ['C5', 1.0]];[('P', 1.0), ['G2', 1.0], ['C3', 1.0]];[['D5', 2.0], ['E5', 1.0]];[['F4', 1.0], ['D4', 1.0], ['G4', 1.0]];[['A3', 1.0], ['G3', 2.0]];[['F3', 1.0], ['G3', 1.0], ['C3', 1.0]];24;bach;bwv19.7
[['C6', 1.0], ['B5', 2.0]];[['G5', 3.0]];[['D5', 3.0]];[['G2', 3.0]];[['D5', 3.0]];[['G4', 3.0]];[['G3', 0.5], ['D4', 0.5], ['F4', 0.5], ['E4', 0.5], ['F4', 1.0]];[['G2', 3.0]];25;bach;bwv19.7
[['C6', 3.0]];[['G5', 3.0]];[['E5', 3.0]];[['C3', 3.0]];[['C5', 3.0]];[['G4', 3.0]];[['E4', 3.0]];[['C3', 3.0]];26;bach;bwv19.7
