trumpet__;trumpet__;trumpet__;soprano;alto;tenor;bass;timpani;measure;composer;corpus
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 0.5], ['E5', 0.5], ['C#5', 2.0]];[['F#4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['F#4', 0.5]];[['B3', 2.0], ['A#3', 1.0]];[['B3', 1.0], ['E3', 1.0], ['F#3', 1.0]];[('P', 3.0)];12;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['B4', 2.0], ['E5', 1.0]];[['D4', 2.0], ['E4', 1.0]];[['B3', 2.0], ['G#3', 0.5], ['A3', 0.5]];[['B2', 2.0], ['C#3', 1.0]];[('P', 3.0)];13;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 1.0], ['D5', 1.0], ['C#5', 1.0]];[['E4', 2.0], ['E4', 1.0]];[['B3', 0.5], ['G#3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C#4', 0.5], ['B3', 0.5]];[['G#3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G#3', 0.5], ['A3', 0.5], ['G#3', 0.5]];[('P', 3.0)];14;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 0.5], ['C#5', 0.5], ['B4', 2.0]];[['A4', 2.0], ['G#4', 1.0]];[['A3', 1.0], ['F#4', 1.0], ['E4', 0.5], ['D4', 0.5]];[['F#3', 0.5], ['E3', 0.5], ['D3', 1.0], ['E3', 1.0]];[('P', 3.0)];15;bach;bwv29.8
[('P', 2.0)];[('P', 2.0)];[('P', 2.0)];[['A4', 2.0]];[['E4', 2.0]];[['C#4', 2.0]];[['A2', 2.0]];[('P', 2.0)];16;bach;bwv29.8
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['A4', 1.0]];[['E4', 1.0]];[['C#4', 0.5], ['B3', 0.5]];[['A3', 0.5], ['G3', 0.5]];[('P', 1.0)];17;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 2.0], ['D5', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['B4', 1.0]];[['A3', 1.0], ['D4', 2.0]];[['F#3', 1.0], ['B3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5]];[('P', 3.0)];18;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['E5', 1.0]];[['B4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['D4', 1.0], ['C#4', 0.5], ['B3', 0.5], ['C#4', 1.0]];[['G3', 0.5], ['E3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 0.5]];[('P', 3.0)];19;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 1.0], ['E5', 1.0], ['F#5', 1.0]];[['A4', 3.0]];[['D4', 1.0], ['A3', 1.0], ['D4', 1.0]];[['D3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['F#3', 0.5]];[('P', 3.0)];20;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 2.0], ['D5', 1.0]];[['A4', 1.0], ['G4', 1.0], ['G4', 0.5], ['A4', 0.5]];[['B3', 2.0], ['B3', 1.0]];[['G3', 2.0], ['G3', 0.5], ['F#3', 0.5]];[('P', 3.0)];21;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['G5', 2.0], ['G5', 1.0]];[['B4', 1.0], ['A4', 0.5], ['G4', 0.5], ['C5', 0.5], ['B4', 0.5]];[['E4', 2.0], ['E4', 1.0]];[['E3', 1.0], ['F#3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 0.5]];[('P', 3.0)];22;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 0.5], ['E5', 0.5], ['F#5', 2.0]];[['A4', 0.5], ['G4', 0.5], ['C5', 1.0], ['B4', 0.5], ['A4', 0.5]];[['E4', 2.0], ['D#4', 1.0]];[['C4', 1.0], ['A3', 1.0], ['B3', 1.0]];[('P', 3.0)];23;bach;bwv29.8
[('P', 2.0)];[('P', 2.0)];[('P', 2.0)];[['E5', 2.0]];[['G4', 2.0]];[['B3', 2.0]];[['E3', 2.0]];[('P', 2.0)];24;bach;bwv29.8
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['E5', 1.0]];[['A4', 1.0]];[['C#4', 1.0]];[['A3', 1.0]];[('P', 1.0)];25;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 2.0], ['F#5', 1.0]];[['A4', 1.0], ['B4', 2.0]];[['D4', 2.0], ['D4', 1.0]];[['D4', 0.5], ['C#4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5]];[('P', 3.0)];26;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['G5', 2.0], ['G5', 1.0]];[['B4', 1.0], ['A4', 0.5], ['G4', 0.5], ['C5', 0.5], ['B4', 0.5]];[['G3', 1.0], ['E4', 2.0]];[['E3', 0.5], ['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 0.5]];[('P', 3.0)];27;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['A5', 1.5], ['G5', 0.5], ['F#5', 0.5], ['E5', 0.5]];[['A4', 0.5], ['G4', 0.5], ['A4', 2.0]];[['E4', 1.0], ['D4', 1.5], ['C4', 0.5]];[['F#3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 1.0]];[('P', 3.0)];28;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 2.0], ['F#5', 1.0]];[['A4', 1.0], ['G4', 1.0], ['A4', 1.0]];[['B3', 2.0], ['D4', 0.5], ['C#4', 0.5]];[['G3', 2.0], ['D4', 1.0]];[('P', 3.0)];29;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 1.0], ['D5', 1.0], ['C#5', 1.0]];[['B4', 2.0], ['A4', 1.0]];[['B3', 1.0], ['E4', 2.0]];[['G#3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G#3', 0.5], ['A3', 0.5], ['G#3', 0.5]];[('P', 3.0)];30;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 0.5], ['C#5', 0.5], ['B4', 2.0]];[['A4', 2.0], ['G#4', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['E4', 0.5], ['D4', 0.5]];[['F#3', 0.5], ['E3', 0.5], ['D3', 1.0], ['E3', 1.0]];[('P', 3.0)];31;bach;bwv29.8
[('P', 2.0)];[('P', 2.0)];[('P', 2.0)];[['A4', 2.0]];[['E4', 2.0]];[['C#4', 2.0]];[['A2', 2.0]];[('P', 2.0)];32;bach;bwv29.8
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['A4', 1.0]];[['E4', 1.0]];[['C#4', 1.0]];[['A3', 0.5], ['G#3', 0.5]];[('P', 1.0)];33;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 2.0], ['C#5', 1.0]];[['A4', 0.5], ['G#4', 0.5], ['A4', 0.5], ['B4', 0.5], ['E4', 1.0]];[['C#4', 1.0], ['B3', 1.0], ['A3', 1.0]];[['F#3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G#3', 0.5], ['A3', 1.0]];[('P', 3.0)];34;bach;bwv29.8
[('P', 1.0), ('P', 1.0), ['A5', 1.0]];[('P', 1.0), ('P', 1.0), ['F#5', 1.0]];[('P', 1.0), ('P', 1.0), ['D4', 1.0]];[['B4', 2.0], ['A4', 1.0]];[['F#4', 1.0], ['C#4', 1.0], ['C#4', 0.5], ['D4', 0.5]];[['A3', 1.0], ['G#3', 1.0], ['A3', 1.0]];[['D#3', 0.5], ['C#3', 0.5], ['D#3', 0.5], ['E#3', 0.5], ['F#3', 0.5], ['E3', 0.5]];[('P', 1.0), ('P', 1.0), ['D3', 1.0]];35;bach;bwv29.8
[['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['F#5', 0.5], ['G#5', 0.5]];[['E5', 1.0], ['D5', 2.0]];[['A4', 1.0], ['A4', 2.0]];[['E5', 1.0], ['F#5', 2.0]];[['E4', 1.0], ['A4', 2.0]];[['A3', 2.0], ['D4', 1.0]];[['D3', 0.5], ['C#3', 0.5], ['D3', 2.0]];[['A2', 1.0], ['D3', 2.0]];36;bach;bwv29.8
[['A5', 2.0], ('P', 1.0)];[['E5', 2.0], ('P', 1.0)];[['A4', 2.0], ('P', 1.0)];[['E5', 2.0], ['F#5', 1.0]];[['A4', 2.0], ['A4', 1.0]];[['C#4', 2.0], ['D4', 1.0]];[['A2', 2.0], ['D3', 0.5], ['C#3', 0.5]];[['A2', 2.0], ('P', 1.0)];37;bach;bwv29.8
[('P', 1.0), ('P', 1.0), ['A5', 1.0]];[('P', 1.0), ('P', 1.0), ['E5', 1.0]];[('P', 1.0), ('P', 1.0), ['A4', 1.0]];[['G5', 1.0], ['F#5', 1.0], ['E5', 1.0]];[['B4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['D4', 2.0], ['A3', 1.0]];[['B2', 0.5], ['A2', 0.5], ['B2', 0.5], ['D3', 0.5], ['C#3', 0.5], ['E3', 0.5]];[('P', 1.0), ('P', 1.0), ['A2', 1.0]];38;bach;bwv29.8
[['D5', 1.0], ['B5', 0.5], ['A5', 0.5], ['G5', 0.5], ['A5', 0.5]];[['F#5', 0.5], ['G5', 0.5], ['E5', 2.0]];[['A5', 1.0], ('P', 1.0), ['A4', 1.0]];[['F#5', 0.5], ['G5', 0.5], ['E5', 2.0]];[['F#4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['D4', 2.0], ['C#4', 1.0]];[['D3', 1.0], ['G2', 1.0], ['A2', 1.0]];[['D3', 1.0], ('P', 1.0), ['A2', 1.0]];39;bach;bwv29.8
[['F#5', 2.0]];[['D5', 2.0]];[['A4', 2.0]];[['D5', 2.0]];[['F#4', 2.0]];[['A3', 2.0]];[['D3', 2.0]];[['D3', 2.0]];40;bach;bwv29.8
