soprano__;soprano__;alto;tenor;bass;measure;composer;corpus
[['A4', 1.0], ['A4', 1.0], ['B-4', 1.0], ['C5', 1.0]];[['F4', 1.0], ['F4', 1.0], ['G4', 1.0], ['A4', 1.0]];[['F4', 1.0], ['D4', 1.0], ['D4', 1.0], ['E-4', 1.0]];[['D4', 1.0], ['D4', 1.0], ['B-3', 1.0], ['A3', 1.0]];[['D3', 1.0], ['D3', 1.0], ['D3', 1.0], ['C3', 1.0]];10;bach;bwv27.6
[['D5', 1.5], ['D5', 0.5], ['C#5', 2.0]];[['A4', 1.0], ['G4', 1.0], ['A4', 2.0]];[['D4', 1.5], ['D4', 0.5], ['E4', 2.0]];[['D4', 1.0], ['D3', 1.0], ['A3', 2.0]];[['B-2', 1.5], ['B-2', 0.5], ['A2', 2.0]];11;bach;bwv27.6
[['F5', 1.0], ['F5', 1.0], ['E5', 1.0], ['D5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['D5', 1.0]];[['F4', 1.0], ['F4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['A3', 1.0], ['C4', 1.0], ['C4', 1.0], ['A3', 1.0]];[['F2', 1.0], ['F2', 1.0], ['C3', 1.0], ['D3', 1.0]];12;bach;bwv27.6
[['E5', 1.5], ['E5', 0.5], ['D5', 2.0]];[['D5', 1.5], ['C#5', 0.5], ['D5', 2.0]];[['E4', 1.5], ['E4', 0.5], ['F#4', 2.0]];[['A3', 1.5], ['A3', 0.5], ['A3', 2.0]];[['A2', 1.5], ['A2', 0.5], ['D3', 2.0]];13;bach;bwv27.6
[['B-4', 4.0], ['C5', 2.0]];[['G4', 4.0], ['A4', 2.0]];[['G4', 4.0], ['E-4', 2.0]];[['G3', 4.0], ['C4', 2.0]];[['E-3', 4.0], ['C3', 2.0]];14;bach;bwv27.6
[['D5', 4.0], ['F5', 2.0]];[['B-4', 4.0], ['B-4', 2.0]];[['F4', 4.0], ['F4', 2.0]];[['F3', 4.0], ['F3', 2.0]];[['B-2', 4.0], ['D3', 2.0]];15;bach;bwv27.6
[['E-5', 4.0], ['E-5', 2.0]];[['B-4', 4.0], ['A4', 2.0]];[['G4', 2.0], ['E-4', 4.0]];[['C4', 4.0], ['C4', 2.0]];[['C3', 4.0], ['C3', 2.0]];16;bach;bwv27.6
[['D5', 6.0]];[['B-4', 6.0]];[['F4', 6.0]];[['D4', 6.0]];[['B-2', 6.0]];17;bach;bwv27.6
[['F5', 4.0], ['F5', 2.0]];[['D5', 4.0], ['C5', 2.0]];[['F4', 4.0], ['F4', 2.0]];[['D4', 4.0], ['F4', 2.0]];[['B-3', 4.0], ['A3', 2.0]];18;bach;bwv27.6
[['F5', 6.0]];[['B-4', 4.0], ['B-4', 2.0]];[['F4', 6.0]];[['D4', 4.0], ['D4', 2.0]];[['B-3', 6.0]];19;bach;bwv27.6
[['E-5', 2.0], ['C5', 3.0], ['C5', 1.0]];[['B-4', 4.0], ['A4', 2.0]];[['G4', 2.0], ['F4', 3.0], ['F4', 1.0]];[['C4', 4.0], ['C4', 2.0]];[['E-3', 2.0], ['F3', 3.0], ['F3', 1.0]];20;bach;bwv27.6
[['B-4', 6.0]];[['B-4', 6.0]];[['F4', 6.0]];[['D4', 6.0]];[['B-2', 6.0]];21;bach;bwv27.6
