violin__;violin__;viola;soprano;alto;tenor;bass;measure;composer;corpus
[['G4', 1.0], ['A4', 1.0], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['B3', 0.5], ['C#4', 0.5], ['D4', 1.0], ['D4', 1.0], ['G4', 0.5], ['A4', 0.5]];[['G3', 1.0], ['F#3', 0.5], ['E3', 0.5], ['D3', 1.0], ['B3', 1.0]];[['G4', 1.0], ['A4', 1.0], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['G4', 0.5], ['A4', 0.5], ['B4', 1.0]];[['G3', 1.0], ['D4', 1.0], ['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5]];[['E3', 1.0], ['D3', 1.0], ['G3', 1.5], ['F3', 0.5]];10;bach;bwv59.3
[['D5', 1.0], ['C5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['E4', 1.0], ['E4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['A4', 1.0]];[['D5', 1.0], ['C5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['G#3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['D#3', 1.0], ['E3', 1.0]];[['E3', 1.0], ['A2', 1.0], ['B2', 1.0], ['C3', 1.0]];11;bach;bwv59.3
[['B4', 3.0], ['B4', 0.5], ['C5', 0.5]];[['F#4', 3.0], ['G4', 0.5], ['A4', 0.5]];[['D#4', 3.0], ['E4', 1.0]];[['B4', 3.0], ['B4', 0.5], ['C5', 0.5]];[['D#4', 3.0], ['E4', 1.0]];[['F#3', 3.0], ['G3', 1.0]];[['B2', 3.0], ['E3', 1.0]];12;bach;bwv59.3
[['D5', 1.0], ['E5', 1.0], ['D5', 1.0], ['A4', 1.0]];[['B4', 1.0], ['C5', 1.0], ['D5', 2.0]];[['F#4', 0.5], ['G#4', 0.5], ['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5]];[['D5', 1.0], ['E5', 1.0], ['D5', 1.0], ['A4', 1.0]];[['F#4', 0.5], ['G#4', 0.5], ['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5]];[['D4', 1.0], ['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['D4', 0.5], ['C4', 0.5]];[['B3', 1.0], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 1.0]];13;bach;bwv59.3
[['B4', 1.0], ['C#5', 1.0], ['D5', 2.0]];[['D5', 1.0], ['G4', 1.0], ['F#4', 2.0]];[['D4', 1.0], ['E4', 1.0], ['A3', 2.0]];[['B4', 1.0], ['C#5', 1.0], ['D5', 2.0]];[['D4', 1.0], ['E4', 1.0], ['F#4', 2.0]];[['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['A3', 2.0]];[['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['D3', 2.0]];14;bach;bwv59.3
[('P', 1.0), ['D5', 1.0], ['E5', 1.0], ['D5', 1.0]];[('P', 1.0), ['G4', 0.5], ['F4', 0.5], ['E4', 0.5], ['F#4', 0.5], ['G4', 1.0]];[('P', 1.0), ['B3', 0.5], ['A3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 1.0]];[('P', 1.0), ['D5', 1.0], ['E5', 1.0], ['D5', 1.0]];[('P', 1.0), ['G4', 1.0], ['G4', 1.0], ['G4', 1.0]];[('P', 1.0), ['B3', 1.0], ['C4', 1.0], ['D4', 1.0]];[('P', 1.0), ['G3', 1.0], ['C3', 1.0], ['B2', 0.5], ['C3', 0.5]];15;bach;bwv59.3
[['A4', 0.5], ['B4', 0.5], ['C5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['F#4', 1.0], ['G4', 0.5], ['A4', 0.5], ['B4', 0.5], ['G4', 0.5], ['D4', 1.0]];[['A3', 1.0], ['E4', 1.0], ['D4', 0.5], ['E4', 0.5], ['F#4', 1.0]];[['A4', 0.5], ['B4', 0.5], ['C5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['F#4', 1.0], ['E4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['D4', 1.0], ['G3', 1.0], ['G3', 1.0], ['F#3', 1.0]];[['D3', 1.0], ['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['C3', 0.5], ['D3', 1.0]];16;bach;bwv59.3
[['G4', 3.0], ['G4', 1.0]];[['D4', 3.0], ['D4', 0.5], ['E4', 0.5]];[['B3', 3.0], ['B3', 1.0]];[['G4', 3.0], ['G4', 1.0]];[['D4', 3.0], ['D4', 1.0]];[['B3', 3.0], ['B3', 1.0]];[['G2', 3.0], ['G2', 1.0]];17;bach;bwv59.3
[['A4', 0.5], ['B4', 0.5], ['C5', 1.0], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['F#4', 1.0], ['E4', 0.5], ['F#4', 0.5], ['G4', 0.5], ['A4', 0.5], ['B4', 1.0]];[['A3', 1.0], ['A3', 1.0], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0]];[['A4', 0.5], ['B4', 0.5], ['C5', 1.0], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['D4', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 0.5], ['E4', 0.5]];[['F#3', 0.5], ['G3', 0.5], ['A3', 1.0], ['G3', 1.0], ['G3', 1.0]];[['D3', 1.0], ['A2', 1.0], ['E3', 1.0], ['B2', 0.5], ['C3', 0.5]];18;bach;bwv59.3
[['D5', 1.0], ['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['A4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['D4', 1.0], ['D4', 1.0]];[['F#3', 0.5], ['E3', 0.5], ['F#3', 1.0], ['G3', 1.0], ['A3', 1.0]];[['D5', 1.0], ['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['F#4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['D4', 1.0], ['D4', 1.0]];[['D4', 1.0], ['D3', 1.0], ['G3', 1.0], ['A3', 1.0]];[['D3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['F#2', 0.5]];19;bach;bwv59.3
[['E4', 2.0], ['D4', 2.0]];[['D4', 1.0], ['C#4', 1.0], ['A3', 2.0]];[['B3', 1.0], ['A3', 0.5], ['G3', 0.5], ['F#3', 2.0]];[['E4', 2.0], ['D4', 2.0]];[['D4', 1.0], ['C#4', 1.0], ['D4', 2.0]];[['B3', 1.0], ['A3', 0.5], ['G3', 0.5], ['F#3', 2.0]];[['G2', 1.0], ['A2', 1.0], ['D3', 2.0]];20;bach;bwv59.3
[('P', 1.0), ['D4', 1.0], ['G4', 1.0], ['A4', 1.0]];[('P', 1.0), ['B3', 1.0], ['E4', 1.0], ['F#4', 1.0]];[('P', 1.0), ['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 0.5], ['A3', 1.0]];[('P', 1.0), ['D4', 1.0], ['G4', 1.0], ['A4', 1.0]];[('P', 1.0), ['D4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[('P', 1.0), ['B3', 1.0], ['B3', 0.5], ['G3', 0.5], ['D4', 1.0]];[('P', 1.0), ['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['D3', 0.5], ['C3', 0.5]];21;bach;bwv59.3
[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['C5', 1.0]];[['G4', 0.5], ['A4', 0.5], ['B4', 1.0], ['E4', 1.5], ['F#4', 0.5]];[['D4', 1.5], ['C4', 0.5], ['B3', 1.0], ['C4', 1.0]];[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['C5', 1.0]];[['G4', 1.5], ['A4', 0.5], ['B4', 1.0], ['A4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['E4', 1.0], ['E3', 0.5], ['F#3', 0.5]];[['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['F#2', 0.5], ['G#2', 1.0], ['A2', 1.0]];22;bach;bwv59.3
[['B4', 1.0], ['A4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[['G4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['D4', 1.0]];[['D4', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['A3', 1.0]];[['B4', 1.0], ['A4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[['G4', 0.5], ['F#4', 0.5], ['E4', 1.0], ['E4', 1.0], ['D4', 1.0]];[['G3', 1.0], ['A3', 1.0], ['B-3', 0.5], ['A3', 0.5], ['A3', 1.0]];[['B2', 1.0], ['C3', 1.0], ['C#3', 1.0], ['D3', 1.0]];23;bach;bwv59.3
[['G4', 3.0], ['A4', 1.0]];[['D4', 3.0], ['F#4', 1.0]];[['B3', 3.0], ['D4', 1.0]];[['G4', 3.0], ['A4', 1.0]];[['D4', 3.0], ['F#4', 1.0]];[['B3', 3.0], ['D4', 1.0]];[['G2', 3.0], ['D3', 1.0]];24;bach;bwv59.3
[['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 2.0]];[['G4', 1.0], ['D4', 1.0], ['D4', 0.5], ['C4', 0.25], ['B3', 0.25], ['C4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 2.0]];[['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 2.0]];[['G4', 1.0], ['D4', 1.0], ['D4', 0.5], ['C4', 0.25], ['B3', 0.25], ['C4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 2.0]];[['G2', 0.5], ['A2', 0.5], ['B2', 1.0], ['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F#3', 0.5]];25;bach;bwv59.3
[['D4', 3.0], ['A4', 1.0]];[['B3', 3.0], ['D#4', 1.0]];[['G3', 3.0], ['A3', 1.0]];[['D4', 3.0], ['A4', 1.0]];[['B3', 3.0], ['D#4', 1.0]];[['G3', 3.0], ['A3', 1.0]];[['G3', 3.0], ['F#3', 1.0]];26;bach;bwv59.3
[['B4', 2.0], ['A4', 2.0]];[['E4', 0.5], ['F#4', 0.5], ['G4', 2.0], ['F#4', 1.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['G3', 0.5], ['D4', 1.0], ['A3', 1.0]];[['B4', 2.0], ['A4', 2.0]];[['E4', 0.5], ['F#4', 0.5], ['G4', 2.0], ['F#4', 1.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['G3', 0.5], ['D4', 1.0], ['A3', 1.0]];[['E3', 1.0], ['B2', 0.5], ['C3', 0.5], ['D3', 2.0]];27;bach;bwv59.3
[['G4', 3.0]];[['D4', 3.0]];[['B3', 3.0]];[['G4', 3.0]];[['D4', 3.0]];[['B3', 3.0]];[['G2', 3.0]];28;bach;bwv59.3
