trumpet__;trumpet__;trumpet__;timpani;oboe__;soprano_oboe___violin_;alto_oboe___viloin__;tenor_viola;bass_continuo;measure;composer;corpus
[['G5', 0.5], ['A5', 1.0], ['G5', 0.25], ['F5', 0.25], ['G5', 1.0]];[['E5', 0.5], ['F5', 1.0], ['E5', 0.25], ['D5', 0.25], ['E5', 1.0]];[['C5', 0.5], ['C4', 0.25], ['C4', 0.25], ['C4', 0.25], ['C4', 0.25], ['C4', 0.25], ['C4', 0.25], ['C5', 1.0]];[['C3', 0.5], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 1.0]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];10;bach;bwv41.6
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['D4', 1.0]];[['B4', 1.0]];[['G4', 1.0]];[['D4', 1.0]];[['G2', 1.0]];11;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['E4', 1.0], ['E4', 1.0]];[['B4', 1.0], ['B4', 1.0], ['B4', 1.0], ['B4', 1.0]];[['G4', 1.0], ['A4', 1.0], ['G4', 1.0], ['G#4', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['E4', 1.0], ['E4', 1.0]];[['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5], ['B2', 0.5]];12;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E4', 2.0], ['E4', 1.0], ['F4', 1.0]];[['C5', 2.0], ['C5', 1.0], ['B4', 1.0]];[['A4', 2.0], ['A4', 1.0], ['A4', 1.0]];[['E4', 2.0], ['E4', 1.0], ['F4', 1.0]];[['A2', 2.0], ['A2', 1.0], ['D3', 1.0]];13;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F4', 1.0], ['E4', 0.5], ['F4', 0.5], ['G4', 1.0], ['F4', 1.0]];[['B4', 1.0], ['B4', 1.0], ['B4', 1.0], ['B4', 1.0]];[['A4', 1.0], ['G4', 1.0], ['D4', 1.0], ['G4', 1.0]];[['F4', 1.0], ['E4', 0.5], ['F4', 0.5], ['G4', 1.0], ['F4', 1.0]];[['E3', 0.5], ['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5]];14;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['E4', 1.0]];[['C5', 2.0], ['C5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['E4', 1.0]];[['C3', 2.0], ['C3', 1.0]];15;bach;bwv41.6
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['C4', 1.0]];[['E5', 1.0]];[['G4', 1.0]];[['C4', 1.0]];[['C3', 1.0]];16;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['C4', 1.0], ['D4', 1.0], ['E4', 1.0]];[['E5', 1.0], ['D5', 1.0], ['C5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['C4', 1.0], ['D4', 1.0], ['E4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['A3', 1.0]];17;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D4', 2.0], ['G4', 1.0]];[['D5', 2.0], ['E5', 1.0]];[['G4', 1.0], ['A4', 1.0], ['B4', 1.0]];[['D4', 2.0], ['G4', 1.0]];[['B3', 1.0], ['A3', 1.0], ['G3', 1.0]];18;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F5', 3.0]];[['C5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['C4', 2.0], ['D4', 1.0]];[['A3', 2.0], ['B3', 1.0]];19;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['E5', 1.0]];[['G4', 2.0], ['C5', 1.0]];[['E4', 2.0], ['G4', 1.0]];[['C4', 2.0], ['C3', 1.0]];20;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 2.0], ['D5', 1.0]];[['B4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['G4', 1.0], ['F4', 1.0], ['E4', 1.0]];[['G3', 1.0], ['A3', 1.0], ['B-3', 1.0]];21;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['C#5', 2.0], ['C#5', 1.0]];[['A4', 1.0], ['B-4', 1.0], ['G4', 1.0]];[['F4', 1.0], ['E4', 2.0]];[['A3', 1.0], ['G3', 1.0], ['A3', 1.0]];22;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 3.0]];[['F4', 2.0], ['B-4', 1.0]];[['D4', 2.0], ['E4', 1.0]];[['B-3', 1.0], ['A3', 1.0], ['G3', 1.0]];23;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 2.0), ['C4', 1.0]];[['D5', 2.0], ['E5', 1.0]];[['A4', 2.0], ['A4', 1.0]];[['F4', 2.0], ['C4', 1.0]];[['D3', 2.0], ['A3', 1.0]];24;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E4', 2.0], ['A4', 1.0]];[['E5', 1.0], ['D5', 1.0], ['C5', 1.0]];[['B4', 2.0], ['A4', 1.0]];[['B3', 1.0], ['E4', 2.0]];[['G#3', 2.0], ['A3', 1.0]];25;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F4', 2.0], ['C4', 1.0]];[['D5', 2.0], ['E5', 1.0]];[['A4', 2.0], ['G4', 1.0]];[['A3', 1.0], ['B3', 1.0], ['C4', 1.0]];[['F3', 2.0], ['E3', 1.0]];26;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F4', 0.5], ['A4', 0.5], ['B4', 0.5], ['C5', 0.5], ['B4', 0.5], ['D4', 0.5]];[['F5', 3.0]];[['A4', 2.0], ['G4', 1.0]];[['C4', 1.0], ['B3', 0.5], ['A3', 0.5], ['B3', 1.0]];[['D3', 2.0], ['G3', 1.0]];27;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['C4', 2.0], ['E4', 1.0]];[['E5', 2.0], ['E5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['C4', 2.0], ['A3', 1.0]];[['C3', 2.0], ['C#3', 1.0]];28;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['A4', 2.0], ['D4', 1.0]];[['D5', 2.0], ['D5', 1.0]];[['F4', 1.0], ['G4', 1.0], ['A4', 1.0]];[['A3', 2.0], ['D4', 1.0]];[['D3', 1.0], ['E3', 1.0], ['F3', 1.0]];29;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E4', 2.0], ['E4', 1.0]];[['C#5', 2.0], ['C#5', 1.0]];[['G4', 1.0], ['A4', 1.0], ['B-4', 1.0]];[['E4', 2.0], ['E4', 1.0]];[['E3', 1.0], ['F3', 1.0], ['G3', 1.0]];30;bach;bwv41.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D4', 1.0], ['G4', 1.0], ['B-4', 1.0]];[['D5', 3.0]];[['A4', 1.0], ['B-4', 1.0], ['G4', 1.0]];[['A3', 1.0], ['D4', 1.0], ['B-3', 1.0]];[['F#3', 1.0], ['G3', 1.0], ['G2', 1.0]];31;bach;bwv41.6
[('P', 2.0)];[('P', 2.0)];[('P', 2.0)];[('P', 2.0)];[['A4', 2.0]];[['D5', 2.0]];[['F#4', 2.0]];[['A3', 2.0]];[['D3', 2.0]];32;bach;bwv41.6
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['C4', 1.0]];[['E5', 1.0]];[['A4', 1.0]];[['C4', 1.0]];[['A2', 0.5], ['B2', 0.5]];33;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C4', 1.0], ['C4', 0.5], ['G4', 0.5], ['B4', 0.5], ['G4', 0.5], ['C5', 1.0]];[['E5', 1.0], ['C5', 1.0], ['D5', 1.0], ['E5', 1.0]];[['G4', 1.0], ['G4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['C4', 1.0], ['C4', 1.0], ['B3', 1.0], ['C4', 1.0]];[['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['C3', 0.5], ['F3', 0.5], ['G3', 0.5], ['F3', 0.5], ['E3', 0.5]];34;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F4', 0.5], ['E4', 0.5], ['D4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['F5', 2.0], ['D5', 1.0], ['D5', 1.0]];[['A4', 2.0], ['G4', 1.0], ['G4', 1.0]];[['C4', 0.5], ['E4', 0.5], ['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['B3', 1.0]];[['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['D3', 0.5], ['G3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F3', 0.5]];35;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E4', 1.0], ['E4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 0.5], ['G4', 0.5]];[['D5', 1.0], ['C5', 1.0], ['C5', 1.0], ['B4', 1.0]];[['G4', 1.0], ['G4', 1.0], ['G4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F4', 0.5]];[['B3', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 0.5], ['G3', 0.5]];[['E3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['G3', 0.5], ['F3', 0.5], ['G3', 0.5], ['G2', 0.5]];36;bach;bwv41.6
[['G5', 0.5], ['A5', 1.0], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['G4', 0.25], ['G4', 0.25], ['C5', 0.25], ['C5', 0.25], ['E5', 0.25], ['E5', 0.25]];[['E5', 0.5], ['F5', 1.0], ['E5', 0.25], ['D5', 0.25], ['E5', 0.5], ['E4', 0.25], ['E4', 0.25], ['G4', 0.25], ['G4', 0.25], ['C5', 0.25], ['C5', 0.25]];[['C5', 1.0], ('P', 1.0), ('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['E4', 0.25], ['E4', 0.25], ['G4', 0.25], ['G4', 0.25]];[['C3', 1.0], ('P', 1.0), ('P', 0.5), ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25]];[['G4', 3.0], ('P', 1.0)];[['C5', 3.0], ('P', 1.0)];[['E4', 3.0], ('P', 1.0)];[['G3', 3.0], ('P', 1.0)];[['C3', 3.0], ('P', 1.0)];37;bach;bwv41.6
[['G5', 0.5], ['A5', 1.0], ['G5', 0.25], ['F5', 0.25], ['G5', 1.0]];[['E5', 0.5], ['F5', 1.0], ['E5', 0.25], ['D5', 0.25], ['E5', 1.0]];[['C5', 0.5], ['C5', 0.25], ['C5', 0.25], ['C5', 0.25], ['C5', 0.25], ['C5', 0.25], ['C5', 0.25], ['C5', 1.0]];[['C3', 0.5], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 1.0]];[('P', 2.0), ('P', 1.0)];[('P', 2.0), ('P', 1.0)];[('P', 2.0), ('P', 1.0)];[('P', 2.0), ('P', 1.0)];[('P', 2.0), ('P', 1.0)];38;bach;bwv41.6
