trumpet__;trumpet__;trumpet__;soprano;alto;tenor;bass;timpani;measure;composer;corpus
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A4', 1.0], ['B4', 1.0], ['C5', 0.5], ['D5', 0.5], ['E5', 1.0]];[['E4', 0.5], ['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['A4', 1.0]];[['A3', 1.0], ['E4', 1.0], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0]];[['F#3', 1.0], ['G#3', 1.0], ['A3', 1.5], ['G3', 0.5]];[('P', 4.0)];11;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D5', 2.0], ['C5', 1.0], ['C5', 1.0]];[['A4', 1.0], ['G4', 0.5], ['F4', 0.5], ['E4', 1.0], ['E4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['G3', 1.0], ['G3', 1.0]];[['F3', 0.5], ['D3', 0.5], ['G3', 1.0], ['C3', 1.0], ['C3', 1.0]];[('P', 4.0)];12;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C5', 1.0], ['D5', 1.0], ['C5', 0.5], ['B4', 0.5], ['A4', 0.5], ['B4', 0.5]];[['F4', 1.0], ['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['C4', 0.5], ['B3', 0.5]];[['A3', 1.0], ['A3', 0.5], ['B3', 0.5], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0]];[['F3', 0.5], ['E3', 0.5], ['D3', 1.0], ['A3', 1.5], ['G3', 0.5]];[('P', 4.0)];13;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C5', 1.0], ['C5', 1.0], ['B4', 1.0], ['B4', 1.0]];[['A3', 1.0], ['F#4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['D4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['F#3', 0.5], ['E3', 0.5], ['D3', 1.0], ['G3', 1.0], ['G3', 0.5], ['F3', 0.5]];[('P', 4.0)];14;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C5', 1.0], ['D5', 1.0], ['C5', 0.5], ['B4', 0.5], ['A4', 0.5], ['B4', 0.5]];[['G4', 0.5], ['F4', 0.5], ['E4', 0.5], ['D4', 0.5], ['E4', 1.0], ['F4', 1.0]];[['G3', 1.0], ['G3', 1.0], ['G3', 1.0], ['D4', 1.0]];[['E3', 0.5], ['D3', 0.5], ['C3', 0.5], ['B2', 0.5], ['C3', 1.0], ['D3', 1.0]];[('P', 4.0)];15;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C5', 1.0], ['C5', 1.0], ['B4', 1.0], ['E5', 1.0]];[['G4', 1.0], ['A4', 0.5], ['D4', 0.5], ['D4', 1.0], ['E4', 0.5], ['D4', 0.5]];[['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['G3', 1.0], ['B3', 1.0]];[['E3', 1.0], ['F#3', 1.0], ['G3', 1.0], ['G#3', 1.0]];[('P', 4.0)];16;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F5', 0.5], ['E5', 0.5], ['D5', 1.0], ['E5', 0.5], ['D5', 0.5], ['C5', 1.0]];[['C4', 1.0], ['G4', 0.5], ['F4', 0.5], ['E4', 1.0], ['A4', 1.0]];[['A3', 1.0], ['D4', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0]];[['A3', 1.0], ['B3', 1.0], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 0.5]];[('P', 4.0)];17;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C5', 1.0], ['B4', 1.0], ['C5', 1.0], ['B4', 1.0]];[['A4', 1.0], ['G4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['D4', 1.0], ['D4', 1.0], ['E4', 1.0], ['D4', 1.0]];[['F3', 0.5], ['D3', 0.5], ['G3', 1.0], ['C3', 1.0], ['G3', 1.0]];[('P', 4.0)];18;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C5', 1.0], ['B4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['A4', 1.0], ['G4', 1.0], ['F#4', 1.0], ['E4', 1.0]];[['D4', 1.0], ['D4', 0.5], ['C4', 0.5], ['C4', 0.5], ['B3', 0.5], ['B3', 1.0]];[['G3', 0.5], ['F#3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['E3', 0.5], ['D#3', 0.5], ['E3', 0.5], ['D3', 0.5]];[('P', 4.0)];19;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['E5', 1.0]];[['E4', 1.0], ['D4', 1.0], ['D4', 1.0], ['E4', 0.5], ['F#4', 0.5]];[['B3', 0.5], ['A3', 0.5], ['A3', 1.0], ['B3', 1.0], ['G3', 0.5], ['A3', 0.5]];[['D3', 0.5], ['C#3', 0.5], ['D3', 1.0], ['G2', 1.0], ['C3', 1.0]];[('P', 4.0)];20;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D5', 1.0], ['C5', 1.0], ['B4', 1.0], ['E5', 1.0]];[['G4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['F#4', 0.5], ['G#4', 1.0], ['A4', 0.5], ['G4', 0.5]];[['B3', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['E4', 1.0]];[['G3', 1.0], ['A3', 1.0], ['E3', 1.0], ['C#3', 1.0]];[('P', 4.0)];21;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F5', 0.5], ['E5', 0.5], ['D5', 1.0], ['E5', 0.5], ['D5', 0.5], ['C5', 1.0]];[['F4', 1.0], ['G4', 0.5], ['F4', 0.5], ['E4', 0.5], ['F4', 0.5], ['G4', 1.0]];[['A3', 1.0], ['B3', 1.0], ['C4', 1.0], ['C4', 0.5], ['D4', 0.5]];[['D3', 1.0], ['G3', 1.0], ['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F3', 0.5]];[('P', 4.0)];22;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C5', 1.0], ['B4', 1.0], ['C5', 1.0], ['C5', 1.0]];[['G4', 1.0], ['G4', 1.0], ['G4', 1.0], ['E4', 0.5], ['F#4', 0.5]];[['E4', 0.5], ['C4', 0.5], ['D4', 1.0], ['E4', 1.0], ['C4', 1.0]];[['G3', 1.0], ['G2', 1.0], ['C3', 1.0], ['A3', 1.0]];[('P', 4.0)];23;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C5', 1.0], ['C5', 1.0], ['D5', 1.0], ['C5', 1.0]];[['G4', 1.0], ['F4', 0.5], ['E4', 0.5], ['F4', 1.0], ['E4', 1.0]];[['C4', 0.5], ['B-3', 0.5], ['A3', 1.0], ['A3', 0.5], ['G3', 0.5], ['G3', 1.0]];[['E3', 1.0], ['F3', 1.0], ['B2', 1.0], ['C3', 0.5], ['B2', 0.5]];[('P', 4.0)];24;bach;bwv149.7
[('P', 2.0), ('P', 0.5), ['G5', 0.25], ['F5', 0.25], ['G5', 0.25], ['A5', 0.25], ['G5', 0.25], ['F5', 0.25]];[('P', 2.0), ('P', 0.5), ['D5', 0.25], ['D5', 0.25], ['D5', 0.25], ['F5', 0.25], ['E5', 0.25], ['D5', 0.25]];[('P', 2.0), ('P', 0.5), ['G4', 0.25], ['G4', 0.25], ['G4', 0.5], ['G4', 0.5]];[['C5', 3.0], ['B4', 1.0]];[['A4', 1.0], ['D4', 1.0], ['D4', 2.0]];[['F#3', 0.5], ['G3', 0.5], ['A3', 1.0], ['G3', 2.0]];[['A2', 0.5], ['G2', 0.5], ['F#2', 1.0], ['G2', 1.0], ['G2', 1.0]];[('P', 2.0), ('P', 0.5), ['G2', 0.25], ['G2', 0.25], ['G2', 0.25], ['G2', 0.25], ['G2', 0.25], ['G2', 0.25]];25;bach;bwv149.7
[['E5', 4.0]];[['C5', 4.0]];[['G4', 4.0]];[['C5', 4.0]];[['E4', 4.0]];[['G3', 4.0]];[['C3', 4.0]];[['C3', 4.0]];26;bach;bwv149.7
