horn__;horn__;oboe__;oboe__;violin__;violin__;viola;soprano;alto;tenor;bass;organ;measure;composer;corpus
[['C4', 0.5], ['A3', 0.5], ('P', 0.5), ['F5', 0.25], ['E5', 0.25], ['F5', 0.5], ['A4', 0.5]];[['C4', 0.5], ['A3', 0.5], ('P', 1.0), ['F4', 1.0]];[['F5', 1.0], ('P', 0.5), ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['D5', 0.5]];[['A4', 0.5], ['C5', 0.25], ['B-4', 0.25], ['A4', 0.5], ['C5', 0.5], ['F5', 1.0]];[('P', 0.5), ['F5', 0.25], ['E5', 0.25], ['F5', 0.5], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['D5', 0.5]];[('P', 0.5), ['C5', 0.25], ['B-4', 0.25], ['A4', 0.5], ['C5', 0.5], ['F5', 1.0]];[('P', 0.5), ['F4', 0.25], ['G4', 0.25], ['A4', 0.5], ['A3', 0.5], ['D4', 0.5], ['F4', 0.5]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F3', 0.5], ['A3', 0.25], ['G3', 0.25], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5]];10;bach;bwv248.42-4
[['G4', 1.5], ['A4', 0.25], ['B-4', 0.25], ['A4', 0.5], ['G4', 0.5]];[['F4', 0.5], ['B-4', 0.25], ['A4', 0.25], ['B-4', 0.5], ['A3', 0.5], ['A3', 0.5], ['A3', 0.5]];[['D5', 0.5], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['E5', 0.5], ['E5', 0.5], ['F5', 0.5]];[['F5', 0.5], ['E5', 0.25], ['D5', 0.25], ['C#5', 1.5], ['D5', 0.5]];[['D5', 0.5], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['E5', 0.5], ['E5', 0.5], ['F5', 0.5]];[['F5', 0.5], ['E5', 0.25], ['D5', 0.25], ['C#5', 1.5], ['D5', 0.5]];[['G4', 0.5], ['B-4', 0.5], ['E4', 1.0], ['A4', 1.0]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['B-2', 0.5], ['G2', 0.5], ['E2', 0.5], ['A2', 0.25], ['G2', 0.25], ['A2', 0.5], ['A2', 0.5]];11;bach;bwv248.42-4
[['F4', 1.0], ('P', 1.0), ('P', 1.0)];[['A3', 1.0], ('P', 1.0), ('P', 1.0)];[['F5', 0.5], ['D5', 0.25], ['C5', 0.25], ['B-4', 2.0]];[['D5', 0.5], ['A4', 0.5], ['B-4', 2.0]];[['F5', 0.5], ['D5', 0.5], ['B-4', 2.0]];[['D5', 0.5], ['A4', 0.5], ['G4', 2.0]];[['A4', 0.5], ['F4', 0.5], ['D4', 2.0]];[['D5', 1.0], ['B-4', 2.0]];[['A4', 1.0], ['G4', 2.0]];[['F4', 1.0], ['D4', 2.0]];[['D3', 1.0], ['G3', 1.0], ['F3', 1.0]];[['D2', 0.5], ['D3', 0.5], ['G3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F3', 0.5]];12;bach;bwv248.42-4
[('P', 3.0)];[('P', 3.0)];[['C5', 2.0], ['F4', 1.0]];[['C5', 2.0], ['F4', 1.0]];[['C5', 2.0], ['F4', 1.0]];[['G4', 1.0], ['F4', 2.0]];[['C4', 0.5], ['B-3', 0.5], ['A3', 2.0]];[['C5', 2.0], ['F4', 1.0]];[['G4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['C4', 0.5], ['B-3', 0.5], ['A3', 1.0], ['A3', 1.0]];[['E3', 1.0], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5]];[['E3', 0.5], ['C3', 0.5], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5]];13;bach;bwv248.42-4
[('P', 3.0)];[('P', 3.0)];[['B-4', 1.0], ['A4', 2.0]];[['B-4', 1.0], ['A4', 2.0]];[['B-4', 1.0], ['A4', 2.0]];[['F4', 0.5], ['G4', 0.5], ['G4', 0.5], ['C4', 0.5], ['F4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['C4', 2.0]];[['B-4', 1.0], ['A4', 2.0]];[['F4', 0.5], ['G4', 0.5], ['G4', 1.0], ['F4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['C4', 2.0]];[['D3', 0.5], ['E3', 0.5], ['F3', 1.0], ['F3', 1.0]];[['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['E3', 0.5], ['F3', 0.5], ['F2', 0.5]];14;bach;bwv248.42-4
[('P', 0.5), ['G4', 0.25], ['F4', 0.25], ['G4', 0.5], ['B-4', 0.5], ['B-4', 0.5], ['A4', 0.5]];[('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['C4', 0.5], ['G4', 0.5], ['G4', 0.5], ['F4', 0.5]];[['G4', 1.0], ('P', 0.5), ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['A5', 0.5]];[['G4', 1.0], ('P', 0.5), ['E5', 0.25], ['D5', 0.25], ['E5', 0.5], ['F5', 0.5]];[['G4', 1.0], ('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['C4', 0.5], ['C4', 0.5]];[['E4', 1.0], ('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['C4', 0.5], ['C4', 0.5]];[['C4', 1.0], ('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['C4', 0.5], ['C4', 0.5]];[['G4', 3.0]];[['E4', 3.0]];[['C4', 3.0]];[['C3', 3.0]];[['C3', 0.5], ['E3', 0.25], ['D3', 0.25], ['E3', 0.5], ['G3', 0.5], ['C4', 0.5], ['C3', 0.5]];15;bach;bwv248.42-4
[['A4', 0.5], ['C5', 0.25], ['B-4', 0.25], ['C5', 0.5], ['D5', 0.5], ['D5', 0.5], ['B-4', 0.5]];[['F4', 0.5], ['A4', 0.25], ['G4', 0.25], ['A4', 0.5], ['B-4', 0.5], ['B-4', 0.5], ['G4', 0.5]];[['A5', 0.5], ('P', 0.5), ('P', 1.0), ('P', 1.0)];[['F5', 0.5], ('P', 0.5), ('P', 1.0), ('P', 1.0)];[['C4', 0.5], ['F4', 0.5], ('P', 0.5), ['F4', 0.25], ['E4', 0.25], ['F4', 0.5], ['F4', 0.5]];[['C4', 0.5], ['F4', 0.5], ('P', 0.5), ['F4', 0.25], ['E4', 0.25], ['F4', 0.5], ['F4', 0.5]];[['C4', 0.5], ['F4', 0.5], ('P', 0.5), ['F4', 0.25], ['E4', 0.25], ['F4', 0.5], ['F4', 0.5]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F3', 1.0], ('P', 1.0), ('P', 1.0)];16;bach;bwv248.42-4
[['C5', 0.5], ['A4', 0.5], ['A4', 0.5], ['B-4', 0.5], ['B-4', 0.5], ['G4', 0.5]];[['A4', 0.5], ['F4', 0.5], ['F4', 0.5], ['G4', 0.5], ['G4', 0.5], ['C4', 0.5]];[('P', 3.0)];[('P', 3.0)];[['F4', 0.5], ['C4', 0.5], ('P', 0.5), ['C4', 0.25], ['B-3', 0.25], ['C4', 0.5], ['C4', 0.5]];[['F4', 0.5], ['C4', 0.5], ('P', 0.5), ['C4', 0.25], ['B-3', 0.25], ['C4', 0.5], ['C4', 0.5]];[['F4', 0.5], ['C4', 0.5], ('P', 0.5), ['C4', 0.25], ['B-3', 0.25], ['C4', 0.5], ['C4', 0.5]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F2', 1.0], ('P', 1.0), ('P', 1.0)];17;bach;bwv248.42-4
[['A4', 1.5], ['F5', 0.25], ['E5', 0.25], ['F5', 0.5], ['A4', 0.5]];[['F4', 0.5], ['C5', 0.25], ['B-4', 0.25], ['C5', 0.5], ['C4', 0.5], ['F4', 1.0]];[('P', 0.5), ['F5', 0.25], ['E5', 0.25], ['F5', 0.5], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['D5', 0.5]];[('P', 0.5), ['F5', 0.25], ['E5', 0.25], ['F5', 0.5], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['D5', 0.5]];[['C4', 0.5], ['A3', 0.5], ('P', 0.5), ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['D5', 0.5]];[['C4', 0.5], ['A3', 0.5], ('P', 1.0), ('P', 0.5), ['F5', 0.25], ['E5', 0.25]];[['C4', 0.5], ['A3', 0.5], ('P', 1.0), ('P', 0.5), ['A4', 0.5]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F3', 0.5], ['A3', 0.25], ['G3', 0.25], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5]];18;bach;bwv248.42-4
[['G4', 1.5], ['C5', 0.25], ['B-4', 0.25], ['C5', 0.25], ['B-4', 0.25], ['A4', 0.25], ['G4', 0.25]];[['F4', 0.5], ['B-4', 0.25], ['A4', 0.25], ['B-4', 0.5], ['C4', 0.5], ['C4', 0.5], ['C4', 0.5]];[['D5', 0.5], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['E5', 0.5], ['E5', 0.5], ['F5', 0.5]];[['D5', 0.5], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['E5', 0.5], ['E5', 0.5], ['F5', 0.5]];[['D5', 0.5], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['E5', 0.5], ['E5', 0.5], ['F5', 0.5]];[['F5', 1.0], ('P', 1.0), ('P', 0.5), ['C5', 0.5]];[['D5', 1.0], ('P', 1.0), ('P', 0.5), ['G4', 0.5]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['B-2', 0.5], ['G2', 0.5], ['C3', 1.0], ['C2', 1.0]];19;bach;bwv248.42-4
[['F4', 1.0], ('P', 1.0), ('P', 1.0)];[['A3', 1.0], ('P', 1.0), ('P', 1.0)];[['F5', 0.5], ['C5', 0.5], ['A4', 2.0]];[['F5', 0.5], ['C5', 0.5], ['A4', 2.0]];[['F5', 0.5], ['C5', 0.5], ['A4', 2.0]];[['C5', 0.5], ['A4', 0.5], ['F4', 2.0]];[['A4', 0.5], ['F4', 0.5], ['C4', 2.0]];[['C5', 1.0], ['A4', 2.0]];[['A4', 1.0], ['F4', 2.0]];[['F4', 1.0], ['C4', 2.0]];[['F3', 0.5], ['G3', 0.5], ['A3', 1.0], ['F3', 1.0]];[['F2', 0.5], ['G2', 0.5], ['A2', 0.5], ['G2', 0.5], ['A2', 0.5], ['F2', 0.5]];20;bach;bwv248.42-4
[('P', 3.0)];[('P', 3.0)];[['G4', 2.0], ['F4', 1.0]];[['G4', 2.0], ['F4', 1.0]];[['G4', 2.0], ['F4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['F4', 1.0]];[['C4', 1.5], ['B-3', 0.5], ['A3', 1.0]];[['G4', 2.0], ['F4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['F4', 1.0]];[['C4', 1.5], ['B-3', 0.5], ['A3', 1.0]];[['C3', 2.0], ['D3', 1.0]];[['C3', 0.5], ['B-2', 0.5], ['C3', 0.5], ['C2', 0.5], ['D2', 0.5], ['D3', 0.5]];21;bach;bwv248.42-4
[('P', 3.0)];[('P', 3.0)];[['B-4', 1.0], ['C5', 1.5], ['D5', 0.25], ['E-5', 0.25]];[['B-4', 1.0], ['C5', 1.5], ['D5', 0.25], ['E-5', 0.25]];[['B-4', 1.0], ['C5', 1.5], ['D5', 0.25], ['E-5', 0.25]];[['D4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['B-3', 2.0], ['A3', 0.5], ['B-3', 0.25], ['C4', 0.25]];[['B-4', 1.0], ['C5', 1.5], ['D5', 0.25], ['E-5', 0.25]];[['D4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['B-3', 2.0], ['A3', 0.5], ['B-3', 0.25], ['C4', 0.25]];[['G3', 0.5], ['F3', 0.5], ['E-3', 1.0], ['F3', 1.0]];[['G3', 0.5], ['F3', 0.5], ['E-3', 0.5], ['C3', 0.5], ['F3', 0.5], ['F2', 0.5]];22;bach;bwv248.42-4
[('P', 3.0)];[('P', 3.0)];[['D5', 3.0]];[['D5', 3.0]];[['D5', 3.0]];[['F4', 3.0]];[['C4', 1.0], ['B-3', 0.5], ['A3', 0.5], ['B-3', 1.0]];[['D5', 3.0]];[['F4', 3.0]];[['C4', 1.0], ['B-3', 0.5], ['A3', 0.5], ['B-3', 1.0]];[['B-2', 0.5], ['C3', 0.5], ['D3', 1.0], ['B-2', 1.0]];[['B-2', 0.5], ['C3', 0.5], ['D3', 0.5], ['C3', 0.5], ['D3', 0.5], ['B-2', 0.5]];23;bach;bwv248.42-4
[('P', 1.0), ('P', 0.5), ['F4', 0.25], ['F4', 0.25], ['F4', 0.5], ['F4', 0.5]];[('P', 1.0), ('P', 0.5), ['F4', 0.25], ['F4', 0.25], ['F4', 0.5], ['F4', 0.5]];[['C5', 0.5], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['B-5', 0.5], ['B-5', 0.5], ['G5', 0.5]];[['C5', 0.5], ['C5', 0.25], ['B-4', 0.25], ['C5', 0.5], ['D5', 0.5], ['D5', 0.5], ['B-4', 0.5]];[['C5', 1.0], ('P', 2.0)];[['F4', 1.0], ('P', 1.0), ('P', 1.0)];[['A3', 1.0], ('P', 2.0)];[['C5', 3.0]];[['F4', 3.0]];[['A3', 3.0]];[['F3', 3.0]];[['F3', 1.0], ('P', 1.0), ('P', 1.0)];24;bach;bwv248.42-4
[['F4', 0.5], ['C4', 0.5], ('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['C4', 0.5], ['C4', 0.5]];[['F4', 0.5], ['C4', 0.5], ('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['C4', 0.5], ['C4', 0.5]];[['A5', 0.5], ['F5', 0.5], ['F5', 0.5], ['G5', 0.5], ['G5', 0.5], ['E5', 0.5]];[['C5', 0.5], ['A4', 0.5], ['A4', 0.5], ['B-4', 0.5], ['B-4', 0.5], ['G4', 0.5]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F2', 1.0], ('P', 1.0), ('P', 1.0)];25;bach;bwv248.42-4
[['C4', 0.5], ['A3', 0.5], ('P', 0.5), ['F5', 0.25], ['E5', 0.25], ['F5', 0.5], ['A4', 0.5]];[['C4', 0.5], ['A3', 0.5], ('P', 1.0), ['F4', 1.0]];[['F5', 1.0], ('P', 0.5), ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['D5', 0.5]];[['A4', 0.5], ['C5', 0.25], ['B-4', 0.25], ['A4', 0.5], ['C5', 0.5], ['F5', 1.0]];[('P', 0.5), ['F5', 0.25], ['E5', 0.25], ['F5', 0.5], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['D5', 0.5]];[('P', 0.5), ['C5', 0.25], ['B-4', 0.25], ['A4', 0.5], ['C5', 0.5], ['F5', 1.0]];[('P', 0.5), ['F4', 0.25], ['G4', 0.25], ['A4', 0.5], ['A3', 0.5], ['D4', 0.5], ['F4', 0.5]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F3', 0.5], ['A3', 0.25], ['G3', 0.25], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5]];26;bach;bwv248.42-4
[['G4', 1.5], ['A4', 0.25], ['B-4', 0.25], ['A4', 0.5], ['G4', 0.5]];[['F4', 0.5], ['B-4', 0.25], ['A4', 0.25], ['B-4', 0.5], ['A3', 0.5], ['A3', 0.5], ['A3', 0.5]];[['D5', 0.5], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['E5', 0.5], ['E5', 0.5], ['F5', 0.5]];[['F5', 0.5], ['E5', 0.25], ['D5', 0.25], ['C#5', 1.5], ['D5', 0.5]];[['D5', 0.5], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['E5', 0.5], ['E5', 0.5], ['F5', 0.5]];[['F5', 0.5], ['E5', 0.25], ['D5', 0.25], ['C#5', 1.5], ['D5', 0.5]];[['G4', 0.5], ['B-4', 0.5], ['E4', 1.0], ['A4', 1.0]];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['B-2', 0.5], ['G2', 0.5], ['E2', 0.5], ['A2', 0.25], ['G2', 0.25], ['A2', 0.5], ['A2', 0.5]];27;bach;bwv248.42-4
[['F4', 1.0], ('P', 1.0), ('P', 1.0)];[['A3', 1.0], ('P', 1.0), ('P', 1.0)];[['F5', 0.5], ['D5', 0.25], ['C5', 0.25], ['B-4', 2.0]];[['D5', 0.5], ['A4', 0.5], ['B-4', 2.0]];[['F5', 0.5], ['D5', 0.5], ['B-4', 2.0]];[['D5', 0.5], ['A4', 0.5], ['G4', 2.0]];[['A4', 0.5], ['F4', 0.5], ['D4', 2.0]];[['D5', 1.0], ['B-4', 2.0]];[['A4', 1.0], ['G4', 2.0]];[['F4', 1.0], ['D4', 2.0]];[['D3', 1.0], ['G3', 1.0], ['F3', 1.0]];[['D2', 0.5], ['D3', 0.5], ['G3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F3', 0.5]];28;bach;bwv248.42-4
[('P', 3.0)];[('P', 3.0)];[['C5', 2.0], ['F4', 1.0]];[['C5', 2.0], ['F4', 1.0]];[['C5', 2.0], ['F4', 1.0]];[['G4', 1.0], ['F4', 2.0]];[['C4', 0.5], ['B-3', 0.5], ['A3', 2.0]];[['C5', 2.0], ['F4', 1.0]];[['G4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['C4', 0.5], ['B-3', 0.5], ['A3', 1.0], ['A3', 1.0]];[['E3', 1.0], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5]];[['E3', 0.5], ['C3', 0.5], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5]];29;bach;bwv248.42-4
[('P', 3.0)];[('P', 3.0)];[['B-4', 1.0], ['A4', 2.0]];[['B-4', 1.0], ['A4', 2.0]];[['B-4', 1.0], ['A4', 2.0]];[['F4', 0.5], ['G4', 0.5], ['G4', 0.5], ['C4', 0.5], ['F4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['C4', 2.0]];[['B-4', 1.0], ['A4', 2.0]];[['F4', 0.5], ['G4', 0.5], ['G4', 1.0], ['F4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['C4', 2.0]];[['D3', 0.5], ['E3', 0.5], ['F3', 1.0], ['F3', 1.0]];[['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['E3', 0.5], ['F3', 0.5], ['F2', 0.5]];30;bach;bwv248.42-4
