trumpet__;trumpet__;trumpet__;timpani;soprano_oboe_____violin_;alto_viloin__;tenor_viola;bass_continuo;measure;composer;corpus
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 1.0], ('P', 1.0)];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 1.0], ('P', 1.0)];[['D5', 0.5], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D5', 1.0], ('P', 1.0)];[['D3', 0.5], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 1.0], ('P', 1.0)];[('P', 3.0), ['C#5', 1.0]];[('P', 3.0), ['A4', 1.0]];[('P', 3.0), ['E4', 1.0]];[('P', 3.0), ['A2', 1.0]];20;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C#5', 1.0], ['C#5', 1.0], ['C#5', 1.0], ['C#5', 1.0]];[['A4', 1.0], ['B4', 1.0], ['A4', 1.0], ['A#4', 1.0]];[['E4', 0.5], ['F#4', 0.5], ['G#4', 1.0], ['F#4', 1.0], ['F#4', 1.0]];[['A3', 0.5], ['G#3', 0.5], ['F#3', 0.5], ['E#3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5]];21;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D5', 2.0], ['D5', 1.0], ['C#5', 1.0]];[['B4', 2.0], ['B4', 1.0], ['B4', 1.0]];[['F#4', 2.0], ['F#4', 1.0], ['G4', 1.0]];[['B2', 2.0], ['B2', 1.0], ['E3', 1.0]];22;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C#5', 1.0], ['C#5', 1.0], ['C#5', 1.0], ['C#5', 1.0]];[['B4', 1.0], ['A4', 1.0], ['E4', 1.0], ['A4', 1.0]];[['G4', 1.0], ['F#4', 0.5], ['G4', 0.5], ['A4', 1.0], ['G4', 1.0]];[['F#3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 0.5]];23;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 2.0], ['D5', 1.0]];[['A4', 2.0], ['A4', 1.0]];[['G4', 1.0], ['F#4', 0.5], ['E4', 0.5], ['F#4', 1.0]];[['D3', 2.0], ['D3', 1.0]];24;bach;bwv171.6
[('P', 1.0), ('P', 1.0), ('P', 1.0)];[('P', 1.0), ('P', 1.0), ('P', 1.0)];[('P', 1.0), ('P', 1.0), ('P', 1.0)];[('P', 1.0), ('P', 1.0), ('P', 1.0)];[['F#5', 1.0]];[['A4', 1.0]];[['D4', 1.0]];[['D3', 1.0]];25;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 1.0], ['E5', 1.0], ['D5', 1.0]];[['A4', 2.0], ['A4', 1.0]];[['D4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[['D4', 1.0], ['C#4', 1.0], ['B3', 1.0]];26;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['F#5', 1.0]];[['A4', 1.0], ['B4', 1.0], ['C#5', 1.0]];[['E4', 2.0], ['A4', 1.0]];[['C#4', 1.0], ['B3', 1.0], ['A3', 1.0]];27;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['G5', 3.0]];[['D5', 1.0], ['C#5', 1.0], ['B4', 1.0]];[['D4', 2.0], ['E4', 1.0]];[['B3', 2.0], ['C#4', 1.0]];28;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 2.0], ['F#5', 1.0]];[['A4', 2.0], ['D5', 1.0]];[['F#4', 2.0], ['A4', 1.0]];[['D4', 2.0], ['D3', 1.0]];29;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['E5', 1.0]];[['C#5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['A3', 1.0], ['B3', 1.0], ['C4', 1.0]];30;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D#5', 2.0], ['D#5', 1.0]];[['B4', 1.0], ['C5', 1.0], ['A4', 1.0]];[['G4', 1.0], ['F#4', 2.0]];[['B3', 1.0], ['A3', 1.0], ['B3', 1.0]];31;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 3.0]];[['G4', 2.0], ['C5', 1.0]];[['E4', 2.0], ['F#4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['A3', 1.0]];32;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['F#5', 1.0]];[['B4', 2.0], ['B4', 1.0]];[['G4', 2.0], ['D4', 1.0]];[['E3', 2.0], ['B3', 1.0]];33;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 1.0], ['E5', 1.0], ['D5', 1.0]];[['C#5', 2.0], ['B4', 1.0]];[['C#4', 1.0], ['F#4', 2.0]];[['A#3', 2.0], ['B3', 1.0]];34;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['F#5', 1.0]];[['B4', 2.0], ['A4', 1.0]];[['B3', 1.0], ['C#4', 1.0], ['D4', 1.0]];[['G3', 2.0], ['F#3', 1.0]];35;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['G5', 3.0]];[['B4', 2.0], ['A4', 1.0]];[['D4', 1.0], ['C#4', 0.5], ['B3', 0.5], ['C#4', 1.0]];[['E3', 2.0], ['A3', 1.0]];36;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 2.0], ['F#5', 1.0]];[['A4', 2.0], ['A4', 1.0]];[['D4', 2.0], ['B3', 1.0]];[['D3', 2.0], ['D#3', 1.0]];37;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['E5', 1.0]];[['G4', 1.0], ['A4', 1.0], ['B4', 1.0]];[['B3', 2.0], ['E4', 1.0]];[['E3', 1.0], ['F#3', 1.0], ['G3', 1.0]];38;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D#5', 2.0], ['D#5', 1.0]];[['A4', 1.0], ['B4', 1.0], ['C5', 1.0]];[['F#4', 2.0], ['F#4', 1.0]];[['F#3', 1.0], ['G3', 1.0], ['A3', 1.0]];39;bach;bwv171.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 3.0]];[['B4', 1.0], ['C5', 1.0], ['A4', 1.0]];[['B3', 1.0], ['E4', 1.0], ['C4', 1.0]];[['G#3', 1.0], ['A3', 1.0], ['A2', 1.0]];40;bach;bwv171.6
[('P', 2.0)];[('P', 2.0)];[('P', 2.0)];[('P', 2.0)];[['E5', 2.0]];[['G#4', 2.0]];[['B3', 2.0]];[['E3', 2.0]];41;bach;bwv171.6
[('P', 1.0), ('P', 1.0), ('P', 2.0)];[('P', 1.0), ('P', 1.0), ('P', 2.0)];[('P', 1.0), ('P', 1.0), ('P', 2.0)];[('P', 1.0), ('P', 1.0), ('P', 2.0)];[['F#5', 1.0]];[['B4', 1.0]];[['D4', 1.0]];[['B2', 0.5], ['C#3', 0.5]];42;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F#5', 1.0], ['D5', 1.0], ['E5', 1.0], ['F#5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['D4', 1.0], ['D4', 1.0], ['C#4', 1.0], ['D4', 1.0]];[['D3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['D3', 0.5], ['G3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5]];43;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G5', 2.0], ['E5', 1.0], ['E5', 1.0]];[['B4', 2.0], ['A4', 1.0], ['A4', 1.0]];[['D4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['D4', 0.5], ['C#4', 1.0], ['C#4', 1.0]];[['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['E3', 0.5], ['A3', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 0.5]];44;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E5', 1.0], ['D5', 1.0], ['D5', 1.0], ['C#5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['A4', 0.5], ['B4', 0.5], ['A4', 0.5], ['G4', 0.5]];[['C#4', 1.0], ['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['E4', 0.5], ['A3', 0.5]];[['F#3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['A3', 0.5], ['G3', 0.5], ['A3', 0.5], ['A2', 0.5]];45;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25], ['F#5', 0.25], ['F#5', 0.25]];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.5], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25]];[['D5', 1.0], ('P', 1.0), ('P', 0.5), ['D4', 0.25], ['D4', 0.25], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25]];[['D3', 1.0], ('P', 1.0), ('P', 0.5), ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25]];[['D5', 3.0], ('P', 1.0)];[['F#4', 3.0], ('P', 1.0)];[['A3', 3.0], ('P', 1.0)];[['D3', 3.0], ('P', 1.0)];46;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 1.0]];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 1.0]];[['D5', 0.5], ['D5', 0.25], ['D5', 0.25], ['D5', 0.25], ['D5', 0.25], ['D5', 0.25], ['D5', 0.25], ['D5', 1.0]];[['D3', 0.5], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 1.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];47;bach;bwv171.6
