trumpet__;trumpet__;trumpet__;timpani;soprano;alto;tenor;bass;measure;composer;corpus
[['A5', 1.0], ['A5', 1.0], ['A5', 1.0]];[['F#5', 1.0], ['D5', 1.0], ['E5', 1.0]];[['D5', 1.0], ['F#4', 1.0], ['A4', 1.0]];[['D3', 1.0], ['D3', 1.0], ['A2', 1.0]];[['D5', 1.0], ['D5', 1.0], ['A5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['F#4', 1.0], ['F#4', 1.0], ['E4', 1.0]];[['D3', 1.0], ['D4', 1.0], ['C#4', 1.0]];10;bach;bwv120.8-a
[['A5', 1.5], ['A5', 0.5], ['B5', 1.0]];[['F#5', 1.5], ['F#5', 0.5], ['G#5', 1.0]];[['D5', 1.5], ['D5', 0.5], ['D5', 1.0]];[['D3', 1.5], ['D3', 0.5], ['D3', 1.0]];[['F#5', 1.5], ['E5', 0.5], ['D5', 1.0]];[['A4', 1.5], ['A4', 0.5], ['G#4', 1.0]];[['D4', 1.5], ['A3', 0.5], ['D4', 1.0]];[['D4', 1.5], ['C#4', 0.5], ['B3', 1.0]];11;bach;bwv120.8-a
[['C#6', 1.0], ['A5', 1.0], ['C#6', 1.0]];[['A5', 1.0], ['E5', 1.0], ['A5', 1.0]];[['E5', 1.0], ['A4', 1.0], ['E5', 1.0]];[['A2', 1.0], ['A2', 1.0], ['A2', 1.0]];[['C#5', 1.5], ['B4', 0.5], ['A4', 1.0]];[['E4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['A4', 1.0], ['A3', 1.0], ['E4', 1.0]];[['A3', 1.0], ['A2', 1.0], ['G3', 1.0]];12;bach;bwv120.8-a
[['D6', 1.0], ['C#6', 1.0], ['D6', 0.5], ['B5', 0.5]];[['A5', 1.0], ['A5', 1.0], ['A5', 1.0]];[['F#5', 1.0], ['G5', 1.0], ['F#5', 0.5], ['D5', 0.5]];[['D3', 1.0], ['A2', 1.0], ['D3', 1.0]];[['D5', 1.0], ['E5', 1.0], ['F#5', 0.5], ['G5', 0.5]];[['A4', 1.0], ['C#5', 1.0], ['A4', 1.0]];[['D4', 1.0], ['G3', 1.0], ['D4', 1.0]];[['F#3', 1.0], ['E3', 1.0], ['D3', 1.0]];13;bach;bwv120.8-a
[['C#6', 2.0], ['D6', 1.0]];[['A5', 2.0], ['A5', 1.0]];[['E5', 2.0], ['F#5', 1.0]];[['A2', 0.5], ['A2', 0.25], ['A2', 0.25], ['A2', 0.5], ['A2', 0.5], ['D3', 1.0]];[['E5', 2.0], ['D5', 1.0]];[['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['E4', 1.0], ['C#4', 1.0], ['A3', 1.0]];[['A3', 1.0], ['A2', 1.0], ['D3', 1.0]];14;bach;bwv120.8-a
[['A5', 1.0], ['A5', 1.0], ['A5', 1.0]];[['F#5', 1.0], ['D5', 1.0], ['E5', 1.0]];[['D5', 1.0], ['F#4', 1.0], ['A4', 1.0]];[['D3', 1.0], ['D3', 1.0], ['A2', 1.0]];[['D5', 1.0], ['D5', 1.0], ['A5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['F#4', 1.0], ['F#4', 1.0], ['E4', 1.0]];[['D3', 1.0], ['D4', 1.0], ['C#4', 1.0]];15;bach;bwv120.8-a
[['A5', 1.5], ['A5', 0.5], ['B5', 1.0]];[['F#5', 1.5], ['F#5', 0.5], ['G#5', 1.0]];[['D5', 1.5], ['D5', 0.5], ['D5', 1.0]];[['D3', 1.5], ['D3', 0.5], ['D3', 1.0]];[['F#5', 1.5], ['E5', 0.5], ['D5', 1.0]];[['A4', 1.5], ['A4', 0.5], ['G#4', 1.0]];[['D4', 1.5], ['A3', 0.5], ['D4', 1.0]];[['D4', 1.5], ['C#4', 0.5], ['B3', 1.0]];16;bach;bwv120.8-a
[['C#6', 1.0], ['A5', 1.0], ['C#6', 1.0]];[['A5', 1.0], ['E5', 1.0], ['A5', 1.0]];[['E5', 1.0], ['A4', 1.0], ['E5', 1.0]];[['A2', 1.0], ['A2', 1.0], ['A2', 1.0]];[['C#5', 1.5], ['B4', 0.5], ['A4', 1.0]];[['E4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['A4', 1.0], ['A3', 1.0], ['E4', 1.0]];[['A3', 1.0], ['A2', 1.0], ['G3', 1.0]];17;bach;bwv120.8-a
[['D6', 1.0], ['C#6', 1.0], ['D6', 0.5], ['B5', 0.5]];[['A5', 1.0], ['A5', 1.0], ['A5', 1.0]];[['F#5', 1.0], ['G5', 1.0], ['F#5', 0.5], ['D5', 0.5]];[['D3', 1.0], ['A2', 1.0], ['D3', 1.0]];[['D5', 1.0], ['E5', 1.0], ['F#5', 0.5], ['G5', 0.5]];[['A4', 1.0], ['C#5', 1.0], ['A4', 1.0]];[['D4', 1.0], ['G3', 1.0], ['D4', 1.0]];[['F#3', 1.0], ['E3', 1.0], ['D3', 1.0]];18;bach;bwv120.8-a
[['C#6', 2.0], ['D6', 1.0]];[['A5', 2.0], ['A5', 1.0]];[['E5', 2.0], ['F#5', 1.0]];[['A2', 0.5], ['A2', 0.25], ['A2', 0.25], ['A2', 0.5], ['A2', 0.5], ['D3', 1.0]];[['E5', 2.0], ['D5', 1.0]];[['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['E4', 1.0], ['C#4', 1.0], ['A3', 1.0]];[['A3', 1.0], ['A2', 1.0], ['D3', 1.0]];19;bach;bwv120.8-a
[['A5', 1.5], ['C6', 0.5], ['B5', 0.5], ['A5', 0.5]];[['F#5', 1.5], ['A5', 0.25], ['G5', 0.25], ['F#5', 0.5], ['G5', 0.25], ['F#5', 0.25]];[('P', 3.0)];[('P', 3.0)];[['F#5', 1.5], ['E5', 0.5], ['F#5', 1.0]];[['A4', 1.5], ['A4', 0.5], ['D4', 1.0]];[['F#4', 1.5], ['F#4', 0.5], ['F#4', 0.5], ['D#4', 0.5]];[['D3', 1.0], ['F#3', 1.0], ['B3', 1.0]];20;bach;bwv120.8-a
[['G5', 3.0]];[['E5', 3.0]];[('P', 3.0)];[('P', 3.0)];[['G5', 3.0]];[['B4', 3.0]];[['E4', 3.0]];[['E3', 3.0]];21;bach;bwv120.8-a
[['D5', 1.5], ['E5', 0.5], ['E5', 1.0]];[('P', 3.0)];[['F#4', 1.0], ('P', 1.0), ('P', 1.0)];[['D3', 1.0], ('P', 1.0), ('P', 1.0)];[['F#5', 1.5], ['G5', 0.5], ['A5', 1.0]];[['B4', 1.5], ['B4', 0.5], ['E4', 1.0]];[['F#4', 1.5], ['D4', 0.5], ['C#4', 0.5], ['B3', 0.5]];[['B3', 1.0], ['A3', 1.0], ['G3', 1.0]];22;bach;bwv120.8-a
[['F#5', 0.5], ['E5', 0.5], ['F#5', 0.5], ['G5', 0.5], ['A5', 0.5], ['B5', 0.5]];[['D5', 1.5], ['E5', 0.5], ['F#5', 0.5], ['G5', 0.5]];[['A4', 1.5], ['A4', 0.5], ['D5', 1.0]];[['D3', 1.0], ('P', 1.0), ['D3', 1.0]];[['A5', 1.5], ['G5', 0.5], ['F#5', 1.0]];[['D4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['A3', 1.0], ['C#4', 1.0], ['D4', 1.0]];[['F#3', 1.5], ['E3', 0.5], ['D3', 1.0]];23;bach;bwv120.8-a
[['C#6', 3.0]];[['A5', 3.0]];[['E5', 3.0]];[['A2', 3.0]];[['E5', 3.0]];[['A4', 3.0]];[['C#4', 3.0]];[['A2', 3.0]];24;bach;bwv120.8-a
[['A5', 3.0]];[['E5', 1.0], ['E5', 2.0]];[['A4', 1.0], ['A4', 2.0]];[['A2', 1.0], ['A2', 2.0]];[['A4', 1.0], ['B4', 1.0], ['C#5', 1.0]];[['E4', 1.0], ['E4', 1.0], ['E4', 1.0]];[['C#4', 1.0], ['E4', 1.0], ['A3', 1.0]];[['A3', 1.0], ['G3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['E3', 0.5]];25;bach;bwv120.8-a
[['A5', 0.5], ['G5', 0.5], ['A5', 0.5], ['B5', 0.5], ['A5', 0.5], ['B5', 0.5]];[['D5', 1.0], ['E5', 1.0], ['F#5', 0.5], ['D5', 0.5]];[['A4', 1.0], ['E5', 1.0], ['D5', 0.5], ['F#4', 0.5]];[['D3', 1.0], ['A2', 1.0], ['D3', 1.0]];[['D5', 1.0], ['E5', 1.0], ['F#5', 0.75], ['G5', 0.25]];[['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['A3', 1.0], ['A3', 1.0], ['A3', 0.5], ['D4', 0.5]];[['F#3', 1.0], ['C#3', 1.0], ['D3', 1.0]];26;bach;bwv120.8-a
[['A5', 0.5], ['B5', 0.25], ['C#6', 0.25], ['C#6', 1.0], ['D6', 1.0]];[['E5', 2.0], ['F#5', 1.0]];[['A4', 2.0], ['A4', 1.0]];[['A2', 2.0], ['D3', 1.0]];[['E5', 2.0], ['D5', 1.0]];[['A4', 2.0], ['F#4', 1.0]];[['D4', 1.0], ['C#4', 1.0], ['A3', 1.0]];[['A3', 1.0], ['A2', 1.0], ['D3', 1.0]];27;bach;bwv120.8-a
